ensembl_gene_id	uniprotswissprot
YER146W	P40089
YLR251W	Q06563
YBR182C	P38128
YDR362C	Q06339
YNR026C	P11655
YBR134W	P38275
YHR126C	P38832
YPR194C	Q06593
YGL160W	P53109
YAL003W	P32471
YPL084W	P48582
YNL152W	P53901
YCL002C	P25565
YIL117C	P40476
YBL037W	P38065
YNL140C	P53910
YDR232W	P09950
YJL062W-A	Q3E7B2
YBR019C	P04397
YBR022W	P38218
YDR158W	P13663
YOR230W	Q12363
YNL099C	P50946
YKL173W	P36048
YER159C	P40096
YML057W	P14747
YML055W	Q04969
YDR439W	Q04087
YBR121C-A	P0C5L4
YJL110C	P42944
YNL182C	P53877
YJR088C	P47133
YMR105C	P37012
YOR144C	Q12050
YPR101W	Q06091
YPL179W	P32945
YCL024W	P25389
YNL180C	P53879
YLR321C	Q06168
YPL224C	Q08970
YOL081W	P19158
YNR001C	P00890
YOL052C	P21182
YOR285W	Q12305
YIL050W	P40186
YMR268C	P49960
YDL206W	Q12424
YLR327C	Q06177
YBR119W	P32605
YDR125C	Q04623
YFR052W	P32496
YLR154C-H	P0CY04
YLR154C-H	P0CY05
YLR154C-H	P0CY03
YLR154C-H	P0CY02
YGL211W	P53088
YIL107C	P40433
YJL213W	P40896
YML133W-B	P0CL34
YML133W-B	P0CL35
YML133W-B	P0CL36
YPR204W	Q08995
YBL022C	P36775
YIL150C	P32354
YPR103W	P30656
YGR141W	P53285
YIL165C	P40446
YDR338C	Q05497
YKL061W	P35727
YOR058C	P50275
YPR155C	Q12374
YDR526C	P87274
YJR046W	P47112
YER084W	P40057
YOR270C	P32563
YHR125W	P38831
YGL239C	P53069
YDR533C	Q04432
YOL154W	Q12512
YOR115C	Q99394
YDR272W	Q05584
YLR247C	Q06554
YER183C	P40099
YKL139W	Q03957
YOL003C	Q12006
YNL091W	P53935
YGL097W	P21827
YGR030C	P53218
YNL157W	P53897
YDR197W	P14905
YEL009C-A	A0A023PZF2
YNL315C	P32453
YDR512C	Q04406
YOR258W	Q08702
YPL250W-A	P0C5S0
YDR489W	Q03406
YEL059C-A	Q05676
YOL103W	P30606
YLR167W	P05759
YLR220W	P47818
YLR455W	Q06188
YJL020C	P47068
YLR282C	O13542
YKL180W	P05740
YOR215C	Q12032
YDR299W	Q06631
YKL004W	P36107
YDL015C	Q99190
YDR304C	P35176
YNL221C	P41812
YHR206W	P38889
YML090W	Q04501
YDR271C	P87282
YOL095C	Q12039
YPL244C	Q12520
YAL053W	P39719
YDL181W	P01097
YGR224W	P50080
YHR097C	P38809
YLR094C	Q12418
YPR141C	P17119
YGR142W	P53286
YML101C	Q04201
YFL064C	P43540
YOL063C	Q08226
YNR052C	P39008
YCR060W	P25638
YGR186W	P41895
YNL061W	P40991
YOL079W	Q08238
YDR367W	Q06346
YER172C	P32639
YHR005C-A	P87108
YCR071C	P25642
YOR389W	Q08912
Q0065	P03878
YGR181W	P53299
YLR272C	Q06156
YKL143W	P34078
YNL284C	P36520
YLR264C-A	Q3E732
YDR085C	P33304
YIL045W	P40187
YMR012W	Q03690
YJL187C	P32944
YCR007C	P25354
YOR231W	P32490
YHR193C-A	A0A023PYH5
YJR131W	P32906
YDL097C	Q12377
YHR007C	P10614
YHR214C-D	P0CX92
YHR214C-D	P0CX93
YIL126W	P32597
YGL081W	P53156
YMR202W	P32352
YOR021C	Q12314
YGR082W	P35180
YOR139C	Q08532
YPR156C	Q06451
YMR083W	P07246
YAL031W-A	A0A023PZ94
YPL240C	P02829
YNR040W	P53736
YPR188C	Q06580
YFL015C	P43578
YHR212W-A	P0CX90
YHR212W-A	P0CX91
YGL028C	P53189
YDL139C	Q12334
YJL133W	P10566
YKL062W	P33749
YFL011W	P43581
YPL111W	P00812
YHR184W	P38871
YOR120W	P14065
YPR119W	P24869
YNL246W	P53853
YFR017C	P43598
YLR338W	O94084
YCL012C	Q8J0M4
YJL086C	P47028
YBR243C	P07286
YGL021W	P43633
YDR200C	Q03944
YBR234C	P38328
YJR053W	P47113
YDR191W	P53688
YDR451C	Q04116
YGL110C	P53137
YJR044C	P47111
YGR167W	P17891
YGL017W	P16639
YLR181C	Q06263
YBR179C	P38297
YBR247C	P38333
YOL038W	P40303
YOR023C	Q12433
YJR100C	P47140
YOL124C	Q12463
YOR212W	P18851
YDR469W	Q03323
YMR017W	Q04359
YDR470C	Q03327
YIL158W	P40451
YBR124W	P38269
YLR458W	A0A023PZK9
YML085C	P09733
YOL013W-A	P0C272
YPL192C	Q08931
YNL097W-A	Q8TGL8
YBL086C	P38177
YDR105C	Q12116
YGR156W	P39927
YDR483W	P27809
YKL172W	P36049
YML013W	Q04228
YOL120C	P0CX49
YOL120C	P0CX50
YER092W	P40060
YGR291C	P53340
YOR181W	Q12446
YDL123W	Q07549
YGR197C	P46950
YBL065W	P38188
YIR018W	P40574
YPL059W	Q02784
YPL218W	P20606
YBR227C	P38323
YJR012C	P47087
YDL199C	Q12407
YIR039C	P40583
YMR224C	P32829
YGR041W	P53226
YKR014C	P36018
YGL079W	P53158
YLR180W	P10659
YAL019W	P31380
YNL121C	P07213
YBR218C	P32327
YLR250W	P39931
YCR081C-A	Q8TGQ0
YKL149C	P24309
YBR244W	P38143
YFL018C	P09624
YLR222C-A	P0C5P7
YOR333C	Q08789
YAL024C	P07866
Q0080	P00856
YGL107C	P53140
YMR059W	Q04675
YDR505C	P50896
YDL045W-A	O75012
YGL168W	P45820
YMR072W	Q02486
YDL045C	P38913
YPL264C	Q08980
YBR160W	P00546
YMR304W	P50101
YML087C	Q04516
YMR195W	Q04329
YIL082W	Q99219
YOR335C	
YDR361C	Q06338
YIL056W	P40522
YEL008C-A	Q8TGP3
YBL080C	P33893
YIL161W	P40449
YBR083W	P18412
YBR294W	P38359
YJR067C	P47118
YEL032W	P24279
YKR099W	P22035
YFL032W	P43566
YKL110C	P34253
YPL198W	Q12213
YNL043C	P53957
YNR055C	P53389
YJR146W	P47174
YPL006W	Q12200
YHR132C	P38836
YPR161C	P23293
YKL094W	P28321
YJR140W-A	Q8TGN1
YPL145C	P35844
YMR240C	Q02554
YKR094C	P0CH08
YKR094C	P0CH09
YDR406W-A	P0C5M2
YLR424W	Q06411
YGL228W	P53075
YNL039W	P46678
YMR308C	P32337
YIL119C	P23250
YGR183C	P22289
YOL046C	Q08216
YGL050W	P53177
YBR091C	P32830
YDR199W	A0A023PXB9
YGR273C	P53329
YIL016W	P40548
YML001W	P32939
YDR266C	Q05580
YPL092W	P41930
YGR086C	P53252
YGR228W	P53308
YJR130C	P47164
YKR058W	P36143
YEL010W	P40000
YKL183C-A	Q3E765
YLR253W	Q06567
YDL242W	Q07746
YDR002W	P41920
YGL145W	P33891
YDR214W	Q12449
YBR284W	P38150
YEL040W	P32623
YDR130C	Q03898
YNR036C	P53732
YEL059W	P39982
YOL029C	Q08187
Q0160	P03882
YDL176W	Q12027
YIL144W	P40460
YGR098C	Q03018
YOL155W-A	Q3E7Y8
YPR181C	P15303
YGR074W	Q02260
YBR158W	P38285
YDR358W	Q06336
YDR544C	Q03057
YLR390W-A	O13547
YGL098W	P53146
YDR460W	Q03290
YNL304W	P48559
YOR072W	Q08486
YOL161C	Q08322
YBR111W-A	Q6WNK7
YJR069C	P47119
YER105C	P40064
YHR182C-A	A0A023PZI9
YML114C	Q03750
YBL071C	P38185
YJR120W	P47157
YIL026C	P40541
YJL186W	P46982
Q0070	Q9ZZX1
YJL008C	P47079
YNL119W	P53923
YDR034W-B	Q6Q5X2
YCR036W	P25332
YNL034W	P53963
YHR025W	P17423
YJL061W	P40368
YMR319C	P40988
YOL122C	P38925
YLR233C	P17214
YDL028C	P54199
YNL187W	P53873
YEL053C	Q02197
YCR063W	P25337
YOR252W	Q08687
YAL034W-A	P39731
YEL046C	P37303
YOR157C	P25043
YNL310C	P42844
YGL096W	P53147
YGR240C-A	Q3E786
YCL042W	P25572
YBR126W-B	A0A023PXH5
YDR061W	Q12298
YER137C	P40083
YDR060W	Q12176
YJR085C	P47131
YHR055C	P0CX80
YHR055C	P0CX81
YLR347W-A	Q8TGM2
YPR171W	Q06604
YHR073W	P38713
YPR122W	P40851
YGR172C	P53039
YJR040W	P37020
YBR229C	P38138
YDR169C-A	Q3E789
YDR363W	Q06340
YKR052C	P23500
YPL091W	P41921
YKL157W	P32454
YPL137C	Q03016
YDR422C	P32578
YOL107W	Q12239
YDR119W	Q04602
YER013W	P24384
YHL015W-A	Q3E7Z6
YLR117C	Q12309
YJL189W	P04650
YOR274W	P07884
YNL277W	P08465
YAL064W-B	O13512
YDR097C	Q03834
YIL163C	P40448
YAL018C	P31379
YBR042C	P38226
YKL068W-A	Q3E826
YKR062W	P36145
YNL126W	P53540
YKL091C	P33324
YOL013W-B	Q870I1
YKR073C	P36153
YJR039W	P47107
Q0142	Q9ZZW4
YGR194C	P42826
YML075C	P12683
YHR064C	P38788
YMR075W	Q04779
YKR087C	P36163
YBR150C	P38114
YER147C-A	A0A023PXD5
YOR343C	Q12484
YDR042C	Q03205
YGL026C	P00931
YNL210W	P16523
YNR041C	P32378
YML129C	P39103
YGL213C	Q02793
YHL041W	P38730
YLR110C	Q12127
YOR093C	Q12275
Q0275	P00420
YGL248W	P22434
YNL193W	P53870
YNL301C	P0CX49
YNL301C	P0CX50
YDL160C	P39517
YGL075C	P53159
YPL014W	Q02606
YHR143W	P38844
YGL256W	P10127
YDR425W	Q04053
YOR381W-A	Q3E804
YBR298C	P38156
YEL036C	P32629
YBR143C	P12385
YML073C	Q02326
YMR149W	Q02795
YNL263C	P53845
YAL037C-A	Q3E741
YIL139C	P38927
YLR072W	Q08001
YOL065C	Q08227
YNL059C	P53946
YOR092W	Q99252
YMR233W	Q05024
YDR228C	P39081
YGL012W	P25340
YPL164C	Q12083
YPL163C	Q12254
YLR069C	P25039
YHR052W-A	P0CL32
YHR052W-A	P0CL33
YLR403W	P32432
YNL028W	P53967
YOR207C	P22276
YKL070W	P36087
YPR069C	Q12074
YPL038W-A	Q3E7B4
YJL202C	P39532
YDR319C	Q06676
YJL009W	P47078
YDR471W	P0C2H7
YLR008C	Q07914
YNL044W	P53633
YER094C	P25451
YBR014C	P38068
YDR089W	P38966
YMR048W	Q04659
YGL082W	P53155
YLR231C	Q05979
YOR365C	Q08844
YML030W	Q03713
YBR259W	P38338
YJR005W	P27351
YMR118C	Q04487
YOL005C	P38902
YOL020W	P38967
YER038C	P40026
YKR038C	P36132
YKR048C	P25293
YLR264W	P0C0X0
YIL068C	P32844
YPR072W	Q12514
YJL006C	P46962
YKL096W-A	P43497
YCR097W-A	Q96VG6
YGR161C	P53289
YIL065C	P40515
YBR060C	P32833
YFR036W	P14724
YKL014C	P34241
YOL053W	Q08223
YDR275W	Q05611
YJR150C	P47178
YPR067W	Q12425
YCR025C	P25352
YPL175W	P32363
YIL098C	P40491
YLR164W	Q06236
YHL047C	P38724
YIL141W	P40461
YHR175W-A	Q3E815
YLR079W	P38634
YCR069W	P25334
YOL117W	Q12348
YHR003C	P38756
YLR103C	Q08032
YCR041W	P37265
YDR043C	Q03125
YLR170C	P35181
YNL026W	P53969
YLR228C	Q05958
YPL088W	Q02895
YNL067W	P51401
YFR006W	P43590
YLL036C	P32523
YJR098C	P47139
YJL103C	P42950
YLR467C-A	P0CL38
YLR467C-A	P0CL39
YLR467C-A	P0CL40
YDR129C	P32599
YIL009W	P39002
YJL156C	P47002
YBR180W	P38125
YBL034C	P38198
YDR136C	Q03913
YKR082W	P36161
YHL032C	P32190
YHR154W	P38850
YNL205C	P40162
YNL104C	P06208
YDL066W	P21954
YOR038C	P32480
YGR274C	P46677
YBR212W	P32831
YOR303W	P07258
YDR302W	Q06636
YIR021W-A	Q3E739
YOR137C	Q12212
YCR102W-A	Q96VG5
YLR198C	O13530
YOL034W	Q08204
YOR052C	Q08422
YAL056C-A	O13513
YDR239C	Q03780
YDR539W	Q03034
YBR071W	P38243
YDL125C	Q04344
YPL125W	Q02932
YPL090C	P0CX37
YPL090C	P0CX38
YPR120C	P30283
YLR411W	Q06686
YMR260C	P38912
YBL074C	P32357
YBL107C	P38162
YBR097W	P22219
YDR493W	Q03429
YPR198W	P33335
YLR056W	P32353
YJL185C	P46983
YOR190W	P32603
YIR020C-B	Q03888
YGR031C-A	Q8TGN9
YLR429W	Q06440
YMR135W-A	Q6B0X1
YNL169C	P39006
YBR136W	P38111
YNL268W	P32487
YPR053C	Q6Q5F3
YKR045C	P36138
Q0010	Q9ZZX9
YJL135W	P47012
YPR106W	Q06098
YDR101C	Q03862
YKL018C-A	Q3E7A7
YDR182W-A	Q3E796
YEL034W	P23301
YHR031C	P38766
YKL126W	P12688
YLL060C	Q12390
YDR212W	P12612
YNL162W	P0CX27
YNL162W	P0CX28
YER144C	P39944
YGL037C	P53184
YBR039W	P38077
YDR476C	Q03362
YIL044C	P40529
YKR072C	P36024
YPL250C	Q12048
YBL089W	P38176
YCR020C-A	P23059
YDL131W	Q12122
YPL051W	Q02804
YER069W	Q01217
YAL048C	P39722
YDR458C	Q03281
YJR138W	P47170
YJL108C	P42946
YPR013C	Q12145
YKR075W-A	Q8TGM9
YEL066W	
YOL039W	P05319
YDR081C	P32896
YPL121C	P32489
YNL257C	P38717
YBL067C	P38187
YKL074C	P36084
YLR310C	P04821
YPR068C	Q12214
YNL229C	P23202
YOR349W	P40987
YBR270C	P38346
YGL252C	P32608
YML056C	P50094
YBR087W	P38251
YKL087C	Q00873
YOL090W	P25847
YOR271C	Q12029
YDL071C	Q07438
YOR173W	Q12123
YFR021W	P43601
YGL250W	P53060
YPR160W-A	P0C5S1
YPR202W	Q08993
YIR020W-A	Q03886
YML064C	P38987
YGR260W	P53322
YPL270W	P33311
YIR004W	P40564
YLR342W	P38631
YJR037W	P47105
YGR159C	P27476
YDR113C	P40316
YBR121C	
YDR168W	P06101
YAL025C	P10962
YIL092W	P40497
YGR006W	P33411
YOR106W	Q12241
YAR064W	P39563
YDR520C	Q04411
YML132W	P0CX12
YML132W	P0CX13
YPL248C	P04386
YBR026C	P38071
YOR108W	Q12166
YKL018W	P36104
YDR307W	Q06644
YER161C	P06843
YGL121C	P53130
YLR017W	Q07938
YJR079W	P47126
YBR197C	P38306
YGL040C	P05373
YML113W	P13483
YKL135C	P36000
YJR049C	P21373
YAL031C	P39732
YER131W	P39939
YGR130C	P53278
YKL112W	P14164
YBR027C	P38220
YHL042W	P38729
YNL042W-B	Q3E7Z2
YOR059C	Q08448
YIL136W	P16547
YER027C	Q04739
YBR177C	P38295
YAR075W	O42831
YHR022C-A	Q8TGT6
YML058W-A	Q6Q5K6
YDR265W	Q05568
YIR022W	P15367
YHR180C-B	P0C5N5
YOL149W	Q12517
Q0255	P03881
YIL002W-A	Q3E7Z5
YPR058W	P32331
YDL076C	Q07458
YDL006W	P35182
YBR176W	P38122
YPL004C	Q12230
YNL248C	Q01080
YGR021W	P53212
YKR085C	P22354
YLR304C	P19414
YJR008W	P47085
YKR102W	P36170
YOR121C	Q08521
YPR110C	P07703
YKL217W	P36035
YOL106W	Q08241
YNR045W	P07390
YJR023C	P47094
YMR136W	P40209
YIL066W-A	A0A023PXF8
YML091C	Q02773
YAL063C-A	Q3E791
YBR230W-A	Q3E762
YNR051C	P53741
YER088C-A	A0A023PXD3
YGR097W	P48361
YLL052C	P0CD90
YMR199W	P20437
YOR295W	Q08747
YIL133C	P26784
YDL086W	Q07505
YGL170C	P45819
YHR106W	P38816
YCR092C	P25336
YOR203W	Q08621
YHR186C	P38873
YDR238C	P41810
YMR286W	P20084
YFL034W	P43564
YGL166W	P15315
YKR044W	P36137
YGL104C	P53142
YHL029C	P38738
YDR077W	Q01589
YDR381C-A	Q3E6R5
YHR048W	P38776
YJR002W	P47083
YGR149W	P48236
YJR145C	P0CX35
YJR145C	P0CX36
YBR090C	P38253
YIL123W	P40472
YHR039C-A	P48836
YKR080W	Q02046
YNL190W	P53872
YOR132W	P32913
YOR216C	Q12234
YBL071C-B	Q8TGU8
YHR073W-A	P0C5N7
YPL042C	P39073
YNL194C	P40169
YKL065W-A	Q2V2P2
YPR149W	Q12207
YBR064W	P38240
YIR001C	P40561
YDL023C	Q12264
YJR048W	P00044
YDL083C	P0CX51
YDL083C	P0CX52
YHR035W	P38769
YOR099W	P27810
YPL172C	P21592
YPR009W	Q12286
YDR036C	P28817
YOR001W	Q12149
YKL156C-A	Q8TGN0
YLR027C	P23542
YDR057W	Q99220
YCR005C	P08679
YBR044C	P38228
YLR214W	P32791
YMR025W	Q04368
YCR038W-A	Q96VG8
YMR112C	
YGR195W	P46948
YER002W	P40007
YAL023C	P31382
YPL039W	Q03080
YDR513W	P17695
YIL153W	P40454
YPR051W	Q03503
YCL034W	P25369
YKR068C	P36149
YAL062W	P39708
YDR487C	Q99258
YML127W	Q03124
YNL080C	P53938
YCL026C-B	Q96VH4
YDR066C	Q12378
YPR134W	P08593
YIR002C	P40562
YKR027W	P36122
YBL068W	P38063
YNR005C	P53717
YLL062C	Q12525
YML005W	Q04235
YGR250C	P53316
YLR378C	P32915
YJR009C	P00358
YJL222W-A	P0CL25
YJL222W-A	P0CL26
YGL155W	P18898
YGL216W	P53086
YOR009W	Q12218
YCR020W-B	Q9URQ5
YJL173C	P26755
YKL081W	P36008
YFL012W-A	Q03186
YPR118W	Q06489
YNR064C	P53750
YLR023C	Q07959
YBR216C	P38315
YKR022C	P36118
YLR425W	Q06412
YMR160W	Q03823
YDR352W	Q06328
YJR014W	P47089
YOR204W	P06634
YFL024C	P43572
YOR209C	P39683
YDR278C	Q05612
YIL108W	P40483
YHR165C	P33334
YNL145W	P34166
YMR046W-A	Q6B0Y5
YNR068C	P53754
YKL083W	P36079
YHL006C	P38751
YGR029W	P27882
YHL025W	P18888
YGL125W	P53128
YJR135W-A	P57744
YIR023C-A	A0A023PZF9
YGR038W	P53224
YGR008C	P16965
YPR019W	P30665
YEL062W	P39923
YNL323W	P42838
YNL003C	P38921
YCR094W	P25656
YJR045C	P0CS90
YPL213W	Q08963
YBR271W	P38347
YDR079C-A	Q3E7C1
YNL199C	Q01722
YHR172W	P38863
YEL074W	P39973
YNL048W	P53954
YDR204W	O13525
YHR002W	P38702
YJL176C	P32591
YJL193W	P39542
YOR284W	Q12134
YHR016C	P32793
YFL013C	P43579
YJR128W	P47162
YPR121W	Q06490
YER142C	P22134
YGR248W	P53315
YPL054W	Q02799
YDL247W-A	P0C5L9
YIL067C	P40514
YDL024C	P52290
YGL094C	P53010
YGR131W	P53279
YKL198C	P36002
YCL028W	P25367
YOR036W	P32854
YLR073C	Q08003
YER035W	P40023
YBR084W	P09440
YHR079C	P32361
YHR169W	P38719
YNL072W	P53942
YAL026C	P39524
YAL014C	P31377
YGR163W	P53290
YHR054C	P38780
YPL123C	Q02933
YDR109C	Q04585
YJL159W	P32478
YIR019C	P08640
YOR154W	Q12232
YFL046W	P43557
YDR466W	Q03306
YLL008W	P32892
YMR096W	Q03148
YLL063C	Q12226
YLR449W	Q06205
YBR065C	P38241
YNL224C	P53866
YGR125W	P53273
YOR048C	Q02792
YPL144W	Q12245
YBR245C	P38144
YKR007W	Q02205
YML133C	Q03099
YOL073C	Q08232
YPR036W-A	Q3E752
YLL046C	P32385
YMR246W	P47912
YOL152W	Q12333
YDR427W	Q04062
YMR052C-A	Q6B0Y6
YER145C	P40088
YDL044C	P10849
YJL030W	P40958
YLR089C	P52893
YJL047C	P47050
YNL067W-A	P0C5Q8
YOL101C	Q99393
YOR085W	P48439
YDL079C	P50873
YBR085W	P18238
YER176W	P32644
YJL194W	P09119
YPL140C	P32491
YOR227W	Q12276
YER071C	P40045
YGR279C	P53334
YPL202C	Q08957
YGL022W	P39007
YCL029C	P11709
YMR120C	P38009
YPL114W	O13518
YMR052W	P46671
YOR159C	Q12330
YLR020C	Q07950
YML100W-A	Q8TGT0
YBR059C	P38080
YML049C	Q04693
YKR078W	P36158
YDR193W	P0C5E0
YOR146W	Q08533
YOR372C	Q08887
YJL195C	P39541
YGR271W	P53327
YNR032W	P32838
YGL025C	P40356
YIL028W	P40539
YLR190W	Q06324
YIL134W	P40464
YDR305C	
YLR045C	P46675
YLR285W	Q05874
YDR377W	Q06405
YJR108W	P47146
YKR001C	P21576
YAL034C-B	O13515
YAR035W	P80235
YHR065C	P38712
YBR068C	P38084
YMR065W	Q04746
YBR285W	P38354
YOR112W	Q12453
YMR098C	Q03153
YCR086W	P25651
YMR302C	P32843
YHR088W	P38805
YLR322W	O13554
YGL176C	P46945
YDR219C	Q04922
YFR014C	P27466
YGR031W	P53219
YER150W	P40092
YBR041W	P38225
YLR276C	Q06218
YDR416W	Q04048
YBR252W	P33317
YMR075C-A	Q6B0Y7
YOR387C	Q08910
YLR346C	Q06139
YER177W	P29311
YKR025W	P36121
YBL082C	P38179
YGL102C	P53143
YBL002W	P02294
YGR182C	P53300
YOR229W	Q12206
YML060W	P53397
YDR365C	Q06344
YLR156W	P0CE96
YLR156W	P0CE98
YLR156W	P0CE97
YNL206C	P40161
YGR025W	P53216
YPL045W	Q03308
YGL113W	P53135
YMR080C	P30771
YBL098W	P38169
YMR156C	Q03796
YDL233W	Q07684
YPL267W	Q08981
YGR188C	P41695
YLR135W	Q12098
YNR062C	P53748
YIL159W	P40450
YGL162W	P53032
YPL133C	P19541
YNL203C	P40163
YKL124W	P32343
YLR261C	O13549
YCR006C	P25350
YMR294W	P36224
YOR068C	Q08474
YNL273W	P53840
YIL011W	P40552
YOR376W-A	Q3E805
YCR083W	P25372
YGL084C	P53154
YCL039W	P25569
YFL041W-A	Q3E817
YDR287W	Q05533
YOL050C	Q08222
YLL066C	
YFR055W	P43623
YFR013W	P43596
YOR342C	Q12182
YER123W	P39962
YBR117C	P33315
YLR077W	Q08023
YOL035C	Q08207
YHR093W	P29589
YEL018W	P39995
YKR095W	Q02455
YOR251C	Q08686
YBR214W	P38314
YOR041C	Q08411
YDR448W	Q02336
YPL263C	Q08979
YDR180W	Q04002
YER116C	P40072
YPL097W	P48527
YPR130C	O13568
YOR130C	Q12375
YGL196W	P53095
YCL037C	P25567
YDR294C	Q05567
YMR167W	P38920
YNL213C	P40156
YBR169C	P32590
YNL055C	P04840
YDR198C	Q03942
YKL129C	P36006
YER043C	P39954
YGR230W	P50084
YNL170W	P53888
YGR084C	P12686
YKL100C	P34248
YIL110W	P40481
YOR119C	Q12196
YAL010C	P18409
YGL222C	P53080
YJL199C	P39534
YHL036W	P38734
YKL041W	P36095
YDL163W	Q12148
YLR144C	Q12168
YIL131C	P40466
YHR100C	P38812
YNR013C	P27514
YLR414C	Q06991
YOL166C	Q08373
YJL216C	P40884
YHR105W	P38815
YLR030W	Q07967
YMR242W-A	Q8TGS6
YOR008C	P54867
YDL119C	Q07534
YHR056C	P38781
YAL042W	P39727
YFR049W	P19955
YMR079W	P24280
YOL011W	Q08108
YNL269W	P53841
YKL221W	P36032
YBR207W	P38310
YKL031W	P36098
YBR155W	P33313
YGR166W	P32893
YDR501W	Q04383
YKR074W	P36154
YFL050C	P43553
YDL214C	Q12310
YGR122C-A	P0C5N2
YEL004W	P40004
YER141W	P40086
YPR177C	O13575
YOR248W	Q08681
YHR135C	P23291
YKL138C	P14063
YJL011C	P47076
YAL038W	P00549
YGR152C	P13856
YOR202W	P06633
YKL063C	P35725
YNR020C	
YOR266W	P38969
YPR124W	P49573
YDR264C	P39010
YIL128W	P40469
YOR140W	P20134
YDR343C	P39003
YNL041C	P53959
YPR157W	Q06466
YJR060W	P17106
YAR003W	P39706
YGL210W	P51996
YJR119C	P47156
YDR373W	Q06389
YPR004C	Q12480
YPR080W	P02994
YOR004W	Q12339
YPL162C	Q12042
YBL106C	P38163
YPL200W	Q08955
YPR057W	Q99177
YBR237W	P21372
YIL064W	P40516
YMR275C	P48524
YDR354W	P07285
YNL234W	P53857
YOR308C	Q12420
YDR246W	Q03784
YMR100W	Q03162
YPR100W	Q06090
YDR428C	Q04066
YJR092W	P47136
YIL071C	P40512
YJL051W	P47046
YHR180W	P38868
YGR265W	P53325
YOR032C	Q12398
YLR301W	Q05905
YCL004W	P25578
YDR157W	A0A023PZE8
YDR316W	Q06668
YJR071W	P47121
YGR157W	P05374
YNL165W	P53891
YPR033C	P07263
YDL142C	Q07560
YNL116W	P53924
YKL024C	P15700
