ensembl_gene_id	mean_disorder
YJR052W	0.36462355
YPR165W	0.41314942
YNL090W	0.1485874
YDR477W	0.42897734
YDL159W	0.30942187
YOR074C	0.21634503
YNL088W	0.36521697
YBR109C	0.33362615
YML095C	0.5756402
YER171W	0.275115
YER161C	0.97319555
YDR392W	0.57708967
YOR065W	0.46138662
YKL182W	0.18856539
YDR226W	0.44187665
YNL121C	0.41014126
YGL234W	0.20550454
YGR204W	0.25684166
YMR083W	0.15069056
YDR216W	0.34444723
YMR042W	0.8008771
YDR173C	0.33286482
YBL099W	0.33198372
YDL067C	0.3183062
YBL045C	0.2689522
YPR191W	0.1699066
YOR303W	0.19222559
YJL130C	0.20551263
YOL139C	0.33228445
YPL075W	0.48498878
YPR033C	0.27468142
YGL009C	0.32512128
YPL154C	0.15530635
YDL106C	0.6921788
YFR034C	0.894614
YML061C	0.47673815
YLR014C	0.30528358
YGL043W	0.44191
YOR122C	0.20907244
YGR258C	0.59723735
YMR208W	0.17253578
YIL033C	0.4394136
YOL121C	0.57470256
YNL302C	0.5505414
YFL045C	0.18461923
YDR023W	0.33485952
YBR243C	0.22912346
YMR108W	0.3897966
YHR013C	0.31185994
YFL005W	0.19867666
YBR115C	0.22516525
YPR110C	0.2401545
YFL009W	0.35062814
YAL024C	0.54750365
YOR274W	0.18746774
YLR438W	0.15201586
YNL192W	0.4555493
YJL128C	0.58887005
YEL024W	0.1925467
YDR146C	0.7071916
YPL262W	0.28233838
YPR047W	0.18657815
YKL184W	0.18699564
YDR523C	0.27203086
YJL208C	0.26867735
YOR151C	0.29129317
YJL167W	0.14962119
YJL166W	0.43763247
YJR010W	0.26303756
YHR005C	0.3168869
YDR127W	0.17242317
YLR451W	0.44995442
YIR019C	0.8006041
YJL005W	0.42123774
YCR005C	0.2569315
YHR023W	0.3937897
YOR260W	0.36057866
YPL237W	0.49880975
YJL194W	0.24321339
YLR377C	0.17796585
YEL060C	0.43255198
YBR084W	0.23630515
YPL016W	0.46054146
YGL203C	0.4339099
YFL018C	0.25299338
YML085C	0.20855631
YML124C	0.20567583
YKL022C	0.45441008
YJL087C	0.18749711
YJL026W	0.2912421
YDR232W	0.26961833
YLR182W	0.6006111
YLR333C	0.4562194
YKR057W	0.3232647
YPR102C	0.4330119
YLR264W	0.7594022
YPR170W-B	0.5244151
YPR192W	0.41440237
YLR256W	0.6207046
YLL039C	0.33892962
YKR094C	0.40099478
YIL148W	0.40099478
YKR094C	0.40099478
YIL148W	0.40099478
YJR045C	0.49848658
YNL015W	0.27585566
YJR094W-A	0.20988902
YPR043W	0.20988902
YJR094W-A	0.20988902
YPR043W	0.20988902
YNL162W	0.4904594
YHR141C	0.4904594
YNL162W	0.4904594
YHR141C	0.4904594
YGR118W	0.3188397
YPR132W	0.3188397
YGR118W	0.3188397
YPR132W	0.3188397
YER074W	0.46591848
YIL069C	0.46591848
YER074W	0.46591848
YIL069C	0.46591848
YJR145C	0.20884044
YHR203C	0.20884044
YJR145C	0.20884044
YHR203C	0.20884044
YPL090C	0.49336094
YBR181C	0.49336094
YPL090C	0.49336094
YBR181C	0.49336094
YBL072C	0.5201874
YER102W	0.5201874
YBL072C	0.5201874
YER102W	0.5201874
YBL087C	0.23187774
YER117W	0.23187774
YBL087C	0.23187774
YER117W	0.23187774
YPL220W	0.22890534
YGL135W	0.22890534
YPL220W	0.22890534
YGL135W	0.22890534
YFR031C-A	0.64619684
YIL018W	0.64619684
YFR031C-A	0.64619684
YIL018W	0.64619684
YDR025W	0.24037296
YBR048W	0.24037296
YDR025W	0.24037296
YBR048W	0.24037296
YOL120C	0.43251586
YNL301C	0.43251586
YOL120C	0.43251586
YNL301C	0.43251586
YDL083C	0.29207787
YMR143W	0.29207787
YEL054C	0.39845458
YDR418W	0.39845458
YEL054C	0.39845458
YDR418W	0.39845458
YML026C	0.30810198
YDR450W	0.30810198
YML026C	0.30810198
YDR450W	0.30810198
YLR158C	0.17086564
YLR155C	0.17086564
YLR157C	0.17086564
YLR160C	0.17086564
YLR158C	0.17086564
YLR155C	0.17086564
YLR157C	0.17086564
YLR160C	0.17086564
YLR158C	0.17086564
YLR155C	0.17086564
YLR157C	0.17086564
YLR160C	0.17086564
YHR055C	0.16053632
YHR053C	0.16053632
YHR055C	0.16053632
YHR053C	0.16053632
YBL027W	0.7184341
YBR084C-A	0.7184341
YBL027W	0.7184341
YBR084C-A	0.7184341
YDL191W	0.27411318
YDL136W	0.27411318
YDL191W	0.27411318
YDL136W	0.27411318
YCR040W	0.17192377
YCL066W	0.17192377
YCR039C	0.26913026
YCL067C	0.26913026
YLR158C	0.17086564
YLR155C	0.17086564
YLR157C	0.17086564
YLR160C	0.17086564
YHL034C	0.80344504
YKR059W	0.17921819
YJL138C	0.17921819
YGL256W	0.18735617
YMR256C	0.38666016
YIR008C	0.21038169
YLR163C	0.25548697
YAL005C	0.45383888
YLL024C	0.46933722
YHR007C	0.21963829
YDL130W	0.44954458
YLR180W	0.25840288
YBR031W	0.4454011
YER020W	0.4174699
YCR066W	0.57008517
YER011W	0.5693886
YDL194W	0.53421736
YGL073W	0.815274
YAL025C	0.581244
YOR341W	0.34842378
YDR170C	0.3705601
YDL192W	0.15549958
YGL062W	0.26962408
YLR382C	0.20749578
YDR044W	0.38003215
YNL241C	0.26204827
YAL041W	0.37870553
YDL229W	0.33251476
YDR481C	0.37471923
YPR052C	0.9030869
YBR089C-A	0.9423365
YNR026C	0.23259021
YCL029C	0.770879
YCL027W	0.5267119
YMR235C	0.31330433
YMR043W	0.8548434
YML098W	0.57139397
YHR205W	0.5289254
YHR024C	0.28284857
YNL216W	0.6611377
YLR452C	0.30822542000000003
YDR227W	0.6656941
YJL153C	0.15584935
YGL013C	0.37609893
YBR143C	0.19375592
YOR043W	0.47792977
YIL015W	0.33218873
YML075C	0.28580377
YLR450W	0.24651942
YKL126W	0.3543705
YOR346W	0.2887683
YNL071W	0.4318722
YBR196C	0.232309
YNL250W	0.30907744
YGR083C	0.48448938
YKL209C	0.2007574
YMR231W	0.19316448
YGL115W	0.19428849
YDL040C	0.24376905
YJL092W	0.42298815
YOR276W	0.76529396
YLR234W	0.26632792
YNL238W	0.410556
YDR122W	0.65294755
YLR096W	0.62429124
YGR202C	0.5062925
YAL040C	0.35303074
YNL102W	0.38026488
YER148W	0.36575124
YFL036W	0.28051698
YIL034C	0.2122856
YHR084W	0.7772573
YGL167C	0.2815262
YDR040C	0.3006001
YDR158W	0.19574593
YBR195C	0.18898304
YGR152C	0.47802645
YPR183W	0.2725053
YKL109W	0.6381273
YOR120W	0.18633212
YGL030W	0.15908995
YOR063W	0.39689487
YKL112W	0.784163
YBR038W	0.4419963
YNL082W	0.35656917
YPL167C	0.23636606
YLR263W	0.4689495
YLR178C	0.31794474
YKL060C	0.25570586
YJL141C	0.5693866
YGR040W	0.2247972
YDR054C	0.6148923
YHR083W	0.25213188
YFR036W	0.91495043
YER162C	0.42332235
YDR217C	0.6450529
YKR026C	0.15713947
YKL104C	0.23567641
YLR195C	0.25224862
YML057W	0.44733566
YLL015W	0.28470743
YDR155C	0.28755787
YKL103C	0.30979997
YOR254C	0.32051507
YMR228W	0.15208928
YBR112C	0.7020632
YLR354C	0.25541207
YMR186W	0.3326897
YDR037W	0.3401643
YDR256C	0.30171838
YML035C	0.371044
YPR181C	0.21275814
YGL166W	0.6575766
YIR022W	0.23183085
YDR194C	0.3551636
YDL102W	0.2327672
YDR283C	0.31163904
YDR454C	0.25356808
YPL117C	0.34780726
YDR120C	0.3609529
YLR060W	0.16989808
YFL022C	0.17112708
YDL014W	0.5529183
YKL024C	0.19700801
YGR282C	0.16543669
YOR027W	0.6078767
YBR082C	0.2517811
YDR059C	0.23295568
YIL035C	0.1844647
YOR330C	0.25541407
YBR213W	0.16288853
YBR088C	0.1438352
YCR088W	0.76744133
YKR086W	0.3176348
YBR072W	0.60070646
YBR127C	0.34090728
YIL021W	0.37249184
YER178W	0.39317104
YGR193C	0.25981936
YLR134W	0.18670984
YJL034W	0.37572178
YLR249W	0.27805436
YHR166C	0.26237586
YCL050C	0.3067302
YHR042W	0.22992054
YOR176W	0.17736258
YCR084C	0.53333753
YLR105C	0.41567695
YBR110W	0.19948275
YDR137W	0.30908078
YGR240C	0.20557176
YMR205C	0.28774133
YBL016W	0.21782376
YER056C	0.2457556
YNL272C	0.62372005
YHL033C	0.40992686
YJR060W	0.87180895
YPR141C	0.35253185
YPL031C	0.29939085
YLR233C	0.2859235
YDL185W	0.24952853
YNL322C	0.6181612
YGR233C	0.20876442
YKL085W	0.30459887
YNL079C	0.96146667
YNL138W	0.46881837
YDR138W	0.33987507
YGR019W	0.2006478
YDR513W	0.19421642
YCL040W	0.1937109
YPR189W	0.21047993
YNL151C	0.5516304
YGR167W	0.7281814
YNL130C	0.24612586
YCL043C	0.17464517
YBR085W	0.16402063
YBL030C	0.18623081
YAL010C	0.18487138
YAL009W	0.389609
YBR083W	0.48353612
YBR289W	0.6879493
YER040W	0.7337185
YHR128W	0.1505256
YBR080C	0.2222823
YOR212W	0.2347099
YJR086W	0.38716796
YHL025W	0.67801875
YGL155W	0.18646236
YMR173W	0.6352881
YMR104C	0.32977998
YLR229C	0.13210022
YPL231W	0.36404157
YKR039W	0.25934133
YDL137W	0.14846964000000001
YJR047C	0.40199208
YDR148C	0.45992666
YLR071C	0.2845728
YDR502C	0.26055896
YLR304C	0.28577065
YOR061W	0.17084126
YOR326W	0.3008676
YPL133C	0.50163466
YPL036W	0.39579588
YJL085W	0.20530948
YOL051W	0.78451407
YGL077C	0.31457406
YGR184C	0.25634202
YML007W	0.73288226
YLR259C	0.37815648
YFR049W	0.16608648
YIL072W	0.30393893
YOL001W	0.36986154
YPR178W	0.31014517
YNL135C	0.27706972
YNR011C	0.3318977
YMR243C	0.4842548
YPR176C	0.16927946
YOR140W	0.8104792
YPR088C	0.48874527
YJL140W	0.6314662
YBR154C	0.23999082
YPR187W	0.61693895
YOR224C	0.24646278
YGL078C	0.35011208
YJL033W	0.46390435
YOR046C	0.30633068
YKL045W	0.2010382
YJR007W	0.24778351
YLR133W	0.34928852
YBR135W	0.44288442
YDL047W	0.21061942
YPL218W	0.15435964
YOR098C	0.89604443
YLR396C	0.16418587
YJR004C	0.29681823
YIL125W	0.27832675
YGL055W	0.34397465
YOL052C	0.21534674
YJR094C	0.44729975
YLR131C	0.79871374
YOR362C	0.34072548
YGL011C	0.17015506
YJL157C	0.32622048
YER168C	0.1634381
YBR237W	0.42619902
YJR049C	0.43895534
YJR050W	0.5175671
YJR051W	0.24172089
YER070W	0.23193944
YBR049C	0.7329558
YPL215W	0.27128202
YKR001C	0.37002322
YPL172C	0.30052313
YJR021C	0.64886945
YIL066C	0.24702312
YKR101W	0.165362
YDR177W	0.36395037
YLL041C	0.16494045
YPL094C	0.44050398
YIR031C	0.24234545
YGL097W	0.32075658
YNL262W	0.21736693
YDL066W	0.21849805
YHL020C	0.7209955
YNL307C	0.21393278
YDL090C	0.18770185
YOR290C	0.5382415
YDR530C	0.22838295
YOL126C	0.19499376
YER142C	0.16292103
YGL206C	0.17958932
YPR010C	0.25564507
YOR210W	0.172312
YHR123W	0.22582328
YER012W	0.18263663
YMR307W	0.27292827
YGL173C	0.34927353
YOL116W	0.60429144
YGL071W	0.7046702
YOR332W	0.3426925
YGR092W	0.34547395
YNL183C	0.7005025
YDR189W	0.29005215
YLR268W	0.36480415
YPL153C	0.37728477
YLR043C	0.16208659
YBR097W	0.22976346
YGL233W	0.23774685
YOR207C	0.25120312
YGR183C	0.40726495
YAR007C	0.28444564
YKL210W	0.24451363
YPL008W	0.26402137
YOL016C	0.347109
YLR240W	0.232594
YOL004W	0.55589026
YJR017C	0.7191641
YOL058W	0.24264893
YGR209C	0.18031874
YIL004C	0.82426286
YGL156W	0.21971658
YKL114C	0.35710263
YFL014W	0.98800594
YHL022C	0.19834213
YLL021W	0.76544434
YNL229C	0.38977647
YPR074C	0.29726163
YCR042C	0.3034602
YLR433C	0.372053
YHR135C	0.6086777
YNL154C	0.61545974
YPR161C	0.55430096
YEL034W	0.33993185
YFR015C	0.27644905
YDR243C	0.3322096
YNL240C	0.29251853
YLR027C	0.16004361
YLR362W	0.34246883
YMR011W	0.322887
YDL134C	0.33666244
YDL188C	0.35351434
YGR116W	0.38737285
YGR135W	0.23463108
YML092C	0.20887479
YML115C	0.30350444
YDR495C	0.26667365
YMR203W	0.21568151
YBL041W	0.19383189
YLR300W	0.15748484
YLL043W	0.5985479
YHR026W	0.3066994
YKL197C	0.20105313
YDR293C	0.5218999
YEL032W	0.4799905
YMR079W	0.27239418
YKL149C	0.2707622
YER013W	0.33840215
YPR175W	0.32498577
YBL105C	0.506783
YNL112W	0.4548883
YPL119C	0.4893139
YDR423C	0.52173114
YJR090C	0.33323124
YNL289W	0.26398018
YGR108W	0.33585262
YPR119W	0.5046821
YDL155W	0.42630562
YDL122W	0.47974697
YPR065W	0.8230267
YOR157C	0.17575864
YDL230W	0.25778025
YMR296C	0.2208583
YBL093C	0.73960805
YML008C	0.33851412
YKR048C	0.5545964
YNL007C	0.85801107
YKL190W	0.38919103
YML123C	0.30736396
YMR061W	0.24691254
YGL044C	0.41685802
YCR038C	0.15647541
YDR004W	0.18718962
YER111C	0.63812965
YMR214W	0.58188343
YCR008W	0.54210585
YCR092C	0.24934971
YGL012W	0.26695833
YCR091W	0.47947982
YCR002C	0.18272251
YCR009C	0.226884
YCL032W	0.50372785
YCR098C	0.30012006
YCR003W	0.42160094
YCR004C	0.45227063
YCR026C	0.3789621
YCR033W	0.7924783
YCR034W	0.30732998
YCR035C	0.17959686
YCR065W	0.6551689
YCL031C	0.24197026
YCL034W	0.45125562
YCL035C	0.21368544
YCL017C	0.28755915
YCL057W	0.17196077
YCL025C	0.3849792
YCR105W	0.14117022
YCR027C	0.20339693
YCR072C	0.24523665
YLR078C	0.71285826
YDL058W	0.5881036
YCL024W	0.5393233
YCR073C	0.21282125
YDL150W	0.8570444
YGL123W	0.38042662
YER094C	0.15560329
YER179W	0.24797565
YER095W	0.36512008
YNL064C	0.41820848
YKL015W	0.3764132
YEL027W	0.25447327
YCL010C	0.5199047
YCL011C	0.58660126
YCL044C	0.4010771
YCL045C	0.17963189
YCL047C	0.14719713
YCL052C	0.2502171
YCL054W	0.60951334
YCL055W	0.3667444
YCL059C	0.38570935
YCL061C	0.8199818
YCL063W	0.7558257
YCL008C	0.3788598
YCL009C	0.33108684
YCR010C	0.35927767
YCR014C	0.2654398
YCR017C	0.25192457
YCR030C	0.55699575
YCR047C	0.45880535
YCR052W	0.5926186
YCR057C	0.2905005
YCR059C	0.35461283
YCR068W	0.3865914
YCR077C	0.5713557
YCR079W	0.22074759
YCR081W	0.23165195
YCR086W	0.22045304
YCR089W	0.43403688
YCR093W	0.24425653
YCR094W	0.3537942
YDL127W	0.3053768
YDL126C	0.44359088
YML078W	0.15883021
YFL002C	0.32390532
YHR120W	0.17813385
YOL090W	0.21396285
YDL200C	0.14781792
YGR087C	0.1495529
YGL116W	0.45001376
YPL131W	0.43556353
YER170W	0.31863904
YDL170W	0.19192539
YMR055C	0.16756624
YOR026W	0.1453584
YML016C	0.63314915
YNL312W	0.3704204
YJL173C	0.30743814
YJR123W	0.35334286
YIL133C	0.19115749
YNL069C	0.30057725
YOR096W	0.279042
YKL113C	0.3400078
YJR005W	0.26487887
YFR014C	0.3894664
YLR258W	0.28679997
YGR159C	0.89954585
YNR013C	0.37154892
YNR012W	0.22712375
YJL172W	0.2490702
YAR015W	0.30005
YAR019C	0.27060798
YAR014C	0.8744664
YBR067C	0.5253538
YOL096C	0.15940094
YML010W	0.6757695
YGL119W	0.2745636
YGL035C	0.956604
YIL160C	0.2680004
YLR148W	0.16766201
YDR483W	0.2840227
YOR099W	0.16070928
YAL058W	0.43723994
YGR029W	0.43319097
YEL061C	0.37236303
YGL070C	0.30105707
YNL113W	0.5414644
YAL032C	0.7351375
YAL033W	0.19851919
YHR089C	0.64298856
YER065C	0.29488543
YOR136W	0.20673499
YEL012W	0.5300526
YKL216W	0.20878743
YKL215C	0.24872524
YBL039C	0.1792611
YKL096W	0.5655367
YKL095W	0.7210491
YKL094W	0.2111528
YKL007W	0.15925545
YKL008C	0.41354448
YMR201C	0.7344181
YMR150C	0.18231209
YKL117W	0.5847449
YKL116C	0.37656122
YGR028W	0.1775886
YBL063W	0.30503392
YPL155C	0.54705375
YGL148W	0.55376035
YDR498C	0.39237294
YDR329C	0.19677699
YDR036C	0.1879433
YNL037C	0.2612234
YLR286C	0.3955203
YPR086W	0.34760094
YGR246C	0.5199544
YPL204W	0.45203033
YER177W	0.42912596
YGR133W	0.171665
YBR200W	0.41067827
YLL045C	0.37173426
YOR208W	0.34741288
YBR023C	0.4161225
YKR002W	0.31032112
YBL023C	0.4606767
YLR274W	0.23324904
YDR353W	0.27402973
YBR275C	0.47373334
YPL048W	0.30940983
YKL019W	0.16075298
YHR190W	0.20902939
YER003C	0.38077593
YPR120C	0.42206955
YDR497C	0.28843898
YDR164C	0.28565305
YMR137C	0.2909829
YOR317W	0.21473959
YPR103W	0.19808254
YFR050C	0.242713
YPR019W	0.37677625
YMR080C	0.2526545
YGL143C	0.4853671
YGR218W	0.15598874
YKL016C	0.4023202
YNL117W	0.2127065
YAL030W	0.8416112
YDR285W	0.8105304
YFL001W	0.2881027
YJR139C	0.21174367
YBR114W	0.327554
YAL012W	0.32895082
YAL017W	0.4941437
YAL011W	0.66151065
YAL014C	0.55064315
YAL015C	0.2855285
YAL019W	0.5222377
YAL023C	0.35810825
YAL016W	0.20051831
YAL021C	0.43980768
YAL013W	0.50781333
YAL020C	0.281948
YKL080W	0.16550852
YLL026W	0.3583011
YDR074W	0.25626165
YGL038C	0.33023882
YNL287W	0.20046966
YPR060C	0.17482698
YOL064C	0.24555114
YNL236W	0.17912029
YOR211C	0.29173127
YPR035W	0.3532079
YBL015W	0.27457693
YGR144W	0.1793835
YBL017C	0.25211337
YNR044W	0.54311824
YDR385W	0.25342464
YOR133W	0.25342464
YDR052C	0.5664934
YBR218C	0.27422935
YPR111W	0.33913422
YLR120C	0.29916698
YKL120W	0.18230261
YPL082C	0.29088524
YGR014W	0.73563415
YLR203C	0.30096653
YOR373W	0.5628148
YMR308C	0.19030367
YGR044C	0.36027923
YML120C	0.24586645
YKL122C	0.70397025
YKL124W	0.5077003
YLR204W	0.7978762
YDR075W	0.17693175
YDR047W	0.1974857
YPR190C	0.32557535
YLL019C	0.38128397
YMR202W	0.20496053
YLR056W	0.2961915
YIL150C	0.5741697
YDR001C	0.31804258
YBL074C	0.31030414
YHR079C	0.34064963
YPL175W	0.248262
YKL079W	0.39775494
YLR447C	0.1359142
YBR123C	0.39596882
YKL212W	0.20378383
YNR043W	0.26500475
YGR253C	0.23011392
YDR356W	0.6450591
YDL029W	0.24040316
YPL268W	0.28524536
YLL048C	0.32205242
YDL078C	0.16469063
YLR403W	0.81645936
YJL115W	0.58518815
YKL157W	0.15517999
YLR314C	0.4959738
YJR076C	0.39807683
YKL191W	0.34065583
YNL280C	0.22140482
YHR094C	0.32077804
YDR345C	0.30456042
YHR092C	0.34374464
YHR107C	0.47780374
YAL003W	0.3618445
YDR519W	0.19873835
YDR518W	0.19982122
YGR175C	0.17584224
YJL159W	0.7814801
YBL008W	0.38649124
YOR038C	0.26641294
YER025W	0.29462492
YLR113W	0.22046544
YPR159W	0.52899605
YOR231W	0.4335601
YPL140C	0.33043182
YAL029C	0.22741175
YDR176W	0.76225114
YDL208W	0.4787338
YMR309C	0.3772274
YLR335W	0.81578207
YML031W	0.2980191
YDR211W	0.29028818
YLR291C	0.2687931
YGR140W	0.33934054
YGL122C	0.6304485
YIR006C	0.7721114
YLL036C	0.19576259
YJL203W	0.49192953
YPL269W	0.44024104
YGR285C	0.5459858
YBR208C	0.1964912
YJR063W	0.1861573
YGL207W	0.43807486
YNL330C	0.26517406
YMR001C	0.28212753
YOR270C	0.25558463
YIL075C	0.27840248
YGR229C	0.74033904
YMR165C	0.6453661
YDR011W	0.29537135
YER022W	0.4340466
YBR253W	0.24616268
YDR069C	0.33695307
YNL202W	0.16733983
YDR422C	0.72143257
YGL169W	0.1938079
YPL029W	0.19581977
YJL106W	0.34306297
YGR155W	0.26075915
YDR410C	0.32807583
YGR104C	0.34066987
YNL016W	0.65974677
YPL106C	0.3756333
YJL176C	0.64158535
YIL126W	0.44264972
YER133W	0.19376075
YDR129C	0.30222738
YKL203C	0.19861656
YBL050W	0.21617323
YOR190W	0.1496207
YJL155C	0.23132323
YBR119W	0.32021752
YOL067C	0.80859494
YGL252C	0.20894474
YDR323C	0.25934494
YEL051W	0.499802
YEL047C	0.19706884
YEL042W	0.2741472
YEL041W	0.30132174
YEL040W	0.39973047
YEL038W	0.18418
YEL037C	0.72573394
YEL036C	0.41211328
YER172C	0.24548823
YER173W	0.36983818
YER174C	0.34825078
YER175C	0.19551434
YER176W	0.39915976
YER164W	0.4978199
YER166W	0.40264153
YGL016W	0.15342233
YAR050W	0.7573301
YKR084C	0.28812134
YDL168W	0.16910255
YOR194C	0.56400144
YKL058W	0.17833686
YDR311W	0.44445187
YBR236C	0.40025076
YBL011W	0.3931114
YBL009W	0.4602497
YBL007C	0.75166935
YLR214W	0.20529573
YHR016C	0.5820148
YLR397C	0.23453882
YPR024W	0.38823384
YML042W	0.2066393
YDL220C	0.31641442
YOR316C	0.47291166
YGL191W	0.2982009
YJL210W	0.19220215
YKL048C	0.40598518
YLR083C	0.29980984
YGL200C	0.31480482
YMR284W	0.19650751
YDL013W	0.6712437
YMR224C	0.54235125
YBR091C	0.16372211
YMR091C	0.5105521
YBR060C	0.506167
YLR293C	0.2914782
YNR032W	0.30617723
YDR375C	0.23541325
YPL234C	0.22176538
YIL068C	0.19112252
YLR032W	0.37965062
YOR036W	0.59720284
YPR055W	0.27139768
YKL040C	0.22196408
YKL035W	0.1941887
YKL038W	0.6944238
YGL163C	0.3581488
YOR370C	0.22953239
YPL232W	0.6265666
YPL115C	0.5511788
YDL174C	0.22944467
YLL008W	0.5888948
YGR166W	0.2536054
YKL181W	0.3380821
YNR017W	0.33266503
YDR430C	0.2194425
YHR148W	0.20364432
YHR149C	0.93306774
YKR093W	0.36328804
YGR214W	0.37605667
YJR131W	0.18341899
YFL008W	0.3602689
YBR172C	0.69552445
YNR003C	0.18307763
YNL244C	0.25195277
YGL212W	0.6844578
YOR132W	0.4829426
YGR063C	0.21525452
YLR378C	0.18910389
YDR292C	0.36483312
YDR103W	0.4445536
YML001W	0.17338607
YGR109C	0.3384923
YJL187C	0.5963363
YOR344C	0.61661696
YKL009W	0.2558386
YKL010C	0.28551504
YKL012W	0.33835235
YER100W	0.5559281
YOR117W	0.49368483
YDR394W	0.29181868
YKL145W	0.50840855
YPL057C	0.30739662
YDR369C	0.5457847
YOR153W	0.3246914
YGL238W	0.16052888
YNR010W	0.7404225
YNL001W	0.15737332
YLR188W	0.19127412
YBR155W	0.42341942
YKL092C	0.26695457
YBR252W	0.41061336
YLR175W	0.40141317
YOR327C	0.84629107
YDR436W	0.6257826
YOR184W	0.20181417
YER008C	0.4568743
YDL052C	0.31457707
YHR165C	0.26675013
YGR143W	0.54452616
YNL243W	0.41599065
YGR047C	0.33040667
YDL051W	0.5121733
YHL027W	0.61216384
YKL127W	0.23273915
YHL016C	0.299619
YDR258C	0.29044673
YKL205W	0.17521483
YPL124W	0.73222697
YPL174C	0.21638437
YKL141W	0.2129062
YML062C	0.5543949
YLR441C	0.2803149
YBR248C	0.19163468
YMR037C	0.7744112
YKL062W	0.76453143
YDR538W	0.18064684
YKR056W	0.34400192
YBR171W	0.24528456
YBR170C	0.2994068
YNL329C	0.16774768
YEL002C	0.23514727
YDL095W	0.33497593
YGL145W	0.23102151
YGL195W	0.18459219
YOL069W	0.20381443
YFR002W	0.20248006
YKL143W	0.876411
YDR404C	0.14794737
YJL154C	0.18934628
YAL001C	0.3188253
YMR125W	0.20108588
YML027W	0.7284148
YHR041C	0.15812407
YKL140W	0.3399601
YGL208W	0.72158307
YPR163C	0.90986925
YBL047C	0.76315373
YBL051C	0.7709178
YBL052C	0.42730033
YBL054W	0.8151016
YBL056W	0.35594824
YBL058W	0.78701514
YBL060W	0.27496284
YBL061C	0.540125
YBL064C	0.16521253
YKL188C	0.33059624
YKL185W	0.67617786
YKL014C	0.17144674
YKL017C	0.1867688
YKL101W	0.6444483
YKL099C	0.8391939
