ensembl_gene_id	uniprotswissprot	lddt
YBR241C	P38142	90.89
YEL047C	P32614	96.93
YML125C	Q12746	89.83
YOR264W	Q08729	53.25
YPL183C	Q08924	93.26
YNL297C	P48563	82.43
YPR065W	P25042	61.34
YNL102W	P13382	74.7
YCR107W	P25612	87.1
YMR318C	Q04894	95.78
YPR032W	Q12038	86.41
YOR281C	Q12017	75.39
YMR115W	Q04472	75.42
YFR027W	P43605	81.05
YMR266W	Q03516	80.44
YDL182W	P48570	87.49
YER146W	P40089	91.52
YLR251W	Q06563	87.71
YBR182C	P38128	54.54
YDR362C	Q06339	78.77
YNR026C	P11655	85.34
YHR126C	P38832	50.37
YPR194C	Q06593	84.78
YGL160W	P53109	79.99
YAL003W	P32471	82.19
YPL084W	P48582	72.46
YNL152W	P53901	67.51
YCL002C	P25565	93.07
YIL117C	P40476	57.52
YBL037W	P38065	82.78
YNL140C	P53910	38.39
YDR232W	P09950	91.6
YJL062W-A	Q3E7B2	90.37
YBR019C	P04397	96.91
YBR022W	P38218	94.76
YDR158W	P13663	97.54
YOR230W	Q12363	83.41
YNL099C	P50946	80.52
YKL173W	P36048	85.6
YER159C	P40096	81.76
YML057W	P14747	82.42
YML055W	Q04969	84.87
YDR439W	Q04087	62.72
YBR121C-A	P0C5L4	85.18
YJL110C	P42944	54.32
YNL182C	P53877	78.47
YJR088C	P47133	95.37
YMR105C	P37012	96.41
YOR144C	Q12050	65.73
YPR101W	Q06091	75.89
YPL179W	P32945	70.75
YCL024W	P25389	58.23
YNL180C	P53879	73.57
YLR321C	Q06168	64.63
YPL224C	Q08970	68.13
YNR001C	P00890	92.61
YOL052C	P21182	89.17
YOR285W	Q12305	91.09
YIL050W	P40186	72.57
YMR268C	P49960	87.44
YDL206W	Q12424	63.56
YLR327C	Q06177	74.2
YBR119W	P32605	88.74
YDR125C	Q04623	88.3
YFR052W	P32496	74.64
YLR154C-H	P0CY04	69.09
YLR154C-H	P0CY05	68.59
YLR154C-H	P0CY03	68.46
YLR154C-H	P0CY02	68.3
YGL211W	P53088	84.73
YIL107C	P40433	66.46
YJL213W	P40896	94.57
YPR204W	Q08995	63.43
YBL022C	P36775	72.23
YIL150C	P32354	73.37
YPR103W	P30656	88.8
YGR141W	P53285	82.36
YIL165C	P40446	95.27
YDR338C	Q05497	73.2
YKL061W	P35727	92.68
YOR058C	P50275	63.66
YPR155C	Q12374	75
YJR046W	P47112	78.42
YER084W	P40057	50.63
YOR270C	P32563	81.39
YHR125W	P38831	47.28
YDR533C	Q04432	98
YOL154W	Q12512	89.69
YOR115C	Q99394	81.96
YDR272W	Q05584	97.56
YLR247C	Q06554	72.38
YER183C	P40099	93
YKL139W	Q03957	73.48
YOL003C	Q12006	88.67
YNL091W	P53935	56.57
YGL097W	P21827	90.24
YGR030C	P53218	90.85
YNL157W	P53897	64.58
YDR197W	P14905	88.61
YEL009C-A	A0A023PZF2	60.69
YNL315C	P32453	80.79
YDR512C	Q04406	67.75
YOR258W	Q08702	94.56
YDR489W	Q03406	74.26
YEL059C-A	Q05676	79.44
YOL103W	P30606	76.29
YLR167W	P05759	89.94
YLR220W	P47818	77.85
YLR455W	Q06188	80.86
YJL020C	P47068	58.08
YKL180W	P05740	93.15
YOR215C	Q12032	86.19
YDR299W	Q06631	70.47
YKL004W	P36107	88.49
YDL015C	Q99190	92.62
YDR304C	P35176	90.08
YNL221C	P41812	85.74
YHR206W	P38889	65.1
YOL095C	Q12039	82.17
YPL244C	Q12520	84.75
YAL053W	P39719	73.48
YDL181W	P01097	82.23
YGR224W	P50080	80.67
YHR097C	P38809	56.05
YLR094C	Q12418	50.05
YPR141C	P17119	78.1
YGR142W	P53286	72.13
YML101C	Q04201	74.66
YFL064C	P43540	53.67
YOL063C	Q08226	70.3
YNR052C	P39008	73.7
YCR060W	P25638	82.53
YGR186W	P41895	60.85
YNL061W	P40991	73.77
YDR367W	Q06346	84.97
YER172C	P32639	83.28
YHR005C-A	P87108	87.18
YCR071C	P25642	86.86
YOR389W	Q08912	86.43
Q0065	P03878	85.68
YGR181W	P53299	74.06
YLR272C	Q06156	80.98
YKL143W	P34078	72.35
YNL284C	P36520	81.98
YLR264C-A	Q3E732	65.66
YDR085C	P33304	58.62
YIL045W	P40187	57.86
YMR012W	Q03690	85.49
YJL187C	P32944	56.64
YCR007C	P25354	78.94
YOR231W	P32490	68.73
YJR131W	P32906	94.95
YDL097C	Q12377	80.04
YHR007C	P10614	97.22
YHR214C-D	P0CX93	43.68
YIL126W	P32597	71.52
YGL081W	P53156	61.84
YMR202W	P32352	96.3
YOR021C	Q12314	92.02
YGR082W	P35180	89.72
YPR156C	Q06451	80
YMR083W	P07246	92.52
YPL240C	P02829	85.27
YNR040W	P53736	82.52
YPR188C	Q06580	79.64
YFL015C	P43578	54.69
YHR212W-A	P0CX91	89.98
YGL028C	P53189	70.62
YDL139C	Q12334	65.72
YJL133W	P10566	80.62
YKL062W	P33749	41.37
YFL011W	P43581	86.29
YPL111W	P00812	94.32
YHR184W	P38871	59.87
YOR120W	P14065	97.1
YPR119W	P24869	71.47
YNL246W	P53853	89.12
YFR017C	P43598	64.09
YCL012C	Q8J0M4	85.88
YBR243C	P07286	90.18
YGL021W	P43633	59.14
YDR200C	Q03944	61.31
YBR234C	P38328	89.43
YJR053W	P47113	53.7
YDR191W	P53688	86.22
YDR451C	Q04116	61.98
YGL110C	P53137	74.65
YJR044C	P47111	75.5
YGR167W	P17891	75.55
YGL017W	P16639	92.46
YLR181C	Q06263	71.84
YBR179C	P38297	72.95
YBR247C	P38333	76.47
YOL038W	P40303	93.91
YOR023C	Q12433	60.14
YJR100C	P47140	71.55
YOL124C	Q12463	92.18
YOR212W	P18851	85.95
YDR469W	Q03323	67.07
YMR017W	Q04359	67.97
YDR470C	Q03327	69.32
YIL158W	P40451	61.43
YML085C	P09733	91.86
YOL013W-A	P0C272	60.52
YPL192C	Q08931	60.93
YBL086C	P38177	64.11
YDR105C	Q12116	80.08
YGR156W	P39927	72.4
YDR483W	P27809	89.65
YKL172W	P36049	72.31
YML013W	Q04228	78.05
YOL120C	P0CX49	92.38
YOL120C	P0CX50	93.29
YER092W	P40060	81.58
YOR181W	Q12446	63.24
YDL123W	Q07549	56.46
YGR197C	P46950	80.25
YIR018W	P40574	71.43
YPL059W	Q02784	86.27
YPL218W	P20606	91.07
YBR227C	P38323	76.22
YJR012C	P47087	64.37
YDL199C	Q12407	67.77
YIR039C	P40583	73.63
YMR224C	P32829	73.19
YGR041W	P53226	45.06
YKR014C	P36018	85.57
YGL079W	P53158	72.88
YLR180W	P10659	97.88
YAL019W	P31380	63.64
YNL121C	P07213	83.63
YBR218C	P32327	90.62
YLR250W	P39931	85.08
YKL149C	P24309	87.34
YBR244W	P38143	97.03
YFL018C	P09624	94.47
YAL024C	P07866	49.14
Q0080	P00856	96.09
YGL107C	P53140	79.34
YMR059W	Q04675	83.81
YDR505C	P50896	58.81
YDL045W-A	O75012	82.18
YGL168W	P45820	47.72
YMR072W	Q02486	87.47
YDL045C	P38913	94.1
YPL264C	Q08980	83.54
YBR160W	P00546	89.7
YMR304W	P50101	84.15
YML087C	Q04516	88.29
YMR195W	Q04329	55.33
YIL082W	Q99219	70.33
YDR361C	Q06338	82.42
YIL056W	P40522	65.97
YBL080C	P33893	89.01
YIL161W	P40449	73.86
YBR083W	P18412	57.51
YBR294W	P38359	80.33
YJR067C	P47118	85.81
YEL032W	P24279	71.62
YKR099W	P22035	54.61
YKL110C	P34253	85.26
YPL198W	Q12213	94.13
YNR055C	P53389	81.28
YJR146W	P47174	38.53
YPL006W	Q12200	86.04
YHR132C	P38836	88.78
YPR161C	P23293	65.82
YKL094W	P28321	96.07
YPL145C	P35844	91.57
YMR240C	Q02554	70.36
YKR094C	P0CH08	93.88
YKR094C	P0CH09	93.49
YLR424W	Q06411	72.93
YGL228W	P53075	70.35
YNL039W	P46678	63.92
YMR308C	P32337	93.24
YIL119C	P23250	63.31
YGR183C	P22289	89.92
YGL050W	P53177	87.77
YBR091C	P32830	84.75
YGR273C	P53329	67.83
YIL016W	P40548	82.52
YML001W	P32939	89.23
YDR266C	Q05580	67.15
YPL092W	P41930	86.67
YGR086C	P53252	79.74
YJR130C	P47164	85.54
YKR058W	P36143	62.35
YKL183C-A	Q3E765	74.3
YLR253W	Q06567	81.79
YDL242W	Q07746	60.39
YDR002W	P41920	83.56
YGL145W	P33891	87.59
YDR214W	Q12449	86.56
YBR284W	P38150	77.09
YEL040W	P32623	81.08
YDR130C	Q03898	61.96
YNR036C	P53732	87.42
YEL059W	P39982	53.87
YOL029C	Q08187	58.83
Q0160	P03882	95.5
YDL176W	Q12027	73.84
YIL144W	P40460	77.12
YGR098C	Q03018	86.83
YOL155W-A	Q3E7Y8	58.83
YPR181C	P15303	92.26
YGR074W	Q02260	78.39
YBR158W	P38285	72.79
YDR358W	Q06336	73.47
YLR390W-A	O13547	60.22
YGL098W	P53146	74.3
YDR460W	Q03290	75.72
YNL304W	P48559	63.65
YOR072W	Q08486	55.81
YOL161C	Q08322	70.22
YBR111W-A	Q6WNK7	91.22
YJR069C	P47119	94.2
YER105C	P40064	79.6
YML114C	Q03750	66.62
YBL071C	P38185	54.24
YJR120W	P47157	52.39
YIL026C	P40541	79.78
YJL186W	P46982	92.06
Q0070	Q9ZZX1	85.18
YJL008C	P47079	86.3
YNL119W	P53923	84.87
YDR034W-B	Q6Q5X2	74.42
YCR036W	P25332	94.41
YNL034W	P53963	35.16
YHR025W	P17423	92.68
YJL061W	P40368	85.21
YMR319C	P40988	80.14
YOL122C	P38925	74.77
YLR233C	P17214	78.3
YDL028C	P54199	62.35
YNL187W	P53873	85.7
YEL053C	Q02197	90.67
YCR063W	P25337	88.51
YOR252W	Q08687	89.69
YAL034W-A	P39731	77.12
YEL046C	P37303	93.11
YOR157C	P25043	93.72
YNL310C	P42844	72.67
YGL096W	P53147	59.61
YGR240C-A	Q3E786	55.95
YCL042W	P25572	44.46
YDR061W	Q12298	84.26
YER137C	P40083	79.48
YDR060W	Q12176	67.96
YJR085C	P47131	59.39
YHR055C	P0CX80	64.37
YHR055C	P0CX81	65.74
YPR171W	Q06604	54.92
YHR073W	P38713	71.13
YPR122W	P40851	80.68
YGR172C	P53039	70.78
YJR040W	P37020	81.26
YBR229C	P38138	91.7
YDR169C-A	Q3E789	58.24
YDR363W	Q06340	69.01
YKR052C	P23500	83.24
YPL091W	P41921	94.93
YKL157W	P32454	89.27
YPL137C	Q03016	63.47
YDR422C	P32578	48.58
YOL107W	Q12239	84.59
YDR119W	Q04602	67.82
YER013W	P24384	78.53
YHL015W-A	Q3E7Z6	83.23
YLR117C	Q12309	84.93
YJL189W	P04650	92.5
YOR274W	P07884	89.57
YNL277W	P08465	87.67
YAL064W-B	O13512	33.12
YDR097C	Q03834	75.81
YIL163C	P40448	59.37
YAL018C	P31379	84.36
YBR042C	P38226	93.69
YKL068W-A	Q3E826	62.67
YKR062W	P36145	63.84
YNL126W	P53540	71.6
YKL091C	P33324	96.4
YKR073C	P36153	46.77
YJR039W	P47107	76.87
Q0142	Q9ZZW4	79.45
YGR194C	P42826	92.99
YML075C	P12683	78.52
YHR064C	P38788	93.32
YMR075W	Q04779	57.03
YKR087C	P36163	78.43
YBR150C	P38114	64.66
YOR343C	Q12484	32.57
YDR042C	Q03205	43.04
YGL026C	P00931	93.02
YNL210W	P16523	78.79
YNR041C	P32378	86.93
YML129C	P39103	79.88
YGL213C	Q02793	92.14
YHL041W	P38730	51.67
YLR110C	Q12127	61.9
YOR093C	Q12275	80.63
Q0275	P00420	95.72
YGL248W	P22434	94.24
YNL193W	P53870	84.49
YNL301C	P0CX49	92.38
YNL301C	P0CX50	93.29
YDL160C	P39517	80.86
YGL075C	P53159	70.31
YPL014W	Q02606	53.53
YHR143W	P38844	43.67
YGL256W	P10127	96.86
YDR425W	Q04053	73.54
YOR381W-A	Q3E804	78.47
YBR298C	P38156	77.77
YEL036C	P32629	80.96
YBR143C	P12385	80.7
YML073C	Q02326	91.78
YMR149W	Q02795	78.28
YNL263C	P53845	72.55
YAL037C-A	Q3E741	76.09
YIL139C	P38927	82.07
YLR072W	Q08001	66.52
YOL065C	Q08227	90.1
YNL059C	P53946	84.28
YOR092W	Q99252	74.82
YMR233W	Q05024	77.81
YDR228C	P39081	71.25
YGL012W	P25340	92.31
YPL164C	Q12083	77.33
YPL163C	Q12254	31.51
YLR069C	P25039	83.4
YLR403W	P32432	48.99
YOR207C	P22276	87.43
YKL070W	P36087	83.08
YPR069C	Q12074	96.68
YPL038W-A	Q3E7B4	68.01
YDR319C	Q06676	89.44
YJL009W	P47078	50.6
YDR471W	P0C2H7	95.32
YLR008C	Q07914	77.25
YNL044W	P53633	83.64
YER094C	P25451	96.92
YBR014C	P38068	82.26
YDR089W	P38966	69.27
YMR048W	Q04659	66.72
YGL082W	P53155	78.06
YLR231C	Q05979	96.83
YOR365C	Q08844	78.13
YML030W	Q03713	67.29
YBR259W	P38338	74.25
YJR005W	P27351	80.44
YMR118C	Q04487	82.08
YOL005C	P38902	95.48
YOL020W	P38967	84.81
YER038C	P40026	68.58
YKR038C	P36132	94.45
YKR048C	P25293	78.33
YLR264W	P0C0X0	91.11
YIL068C	P32844	77.7
YPR072W	Q12514	77.78
YJL006C	P46962	90.96
YKL096W-A	P43497	65.17
YGR161C	P53289	58.68
YIL065C	P40515	89.78
YBR060C	P32833	61.85
YFR036W	P14724	67.28
YKL014C	P34241	80.88
YOL053W	Q08223	62.55
YDR275W	Q05611	56.88
YJR150C	P47178	55.25
YPR067W	Q12425	77.11
YCR025C	P25352	50.63
YPL175W	P32363	90.6
YIL098C	P40491	82.26
YLR164W	Q06236	87.08
YHL047C	P38724	85.8
YHR175W-A	Q3E815	63.12
YLR079W	P38634	59.56
YCR069W	P25334	87.41
YOL117W	Q12348	72.27
YHR003C	P38756	86.84
YLR103C	Q08032	84
YCR041W	P37265	42.81
YDR043C	Q03125	50.63
YLR170C	P35181	89.63
YNL026W	P53969	85.92
YLR228C	Q05958	58.06
YPL088W	Q02895	95.43
YNL067W	P51401	95.69
YFR006W	P43590	90.32
YLL036C	P32523	88.47
YJR098C	P47139	70.47
YJL103C	P42950	60.7
YDR129C	P32599	87.78
YIL009W	P39002	92.71
YJL156C	P47002	75.83
YBR180W	P38125	78.42
YBL034C	P38198	69.4
YKR082W	P36161	81.31
YHL032C	P32190	82.55
YHR154W	P38850	74.76
YNL104C	P06208	90.96
YDL066W	P21954	95.03
YOR038C	P32480	81.34
YGR274C	P46677	67.97
YBR212W	P32831	60.32
YOR303W	P07258	92.11
YDR302W	Q06636	84.61
YIR021W-A	Q3E739	62.72
YOR137C	Q12212	82.46
YOL034W	Q08204	80.14
YOR052C	Q08422	74.47
YDR239C	Q03780	49.47
YDR539W	Q03034	95.9
YBR071W	P38243	58.57
YDL125C	Q04344	92.31
YPL125W	Q02932	92.51
YPL090C	P0CX37	94.66
YPL090C	P0CX38	94.68
YPR120C	P30283	79.15
YLR411W	Q06686	79.14
YMR260C	P38912	77.03
YBL074C	P32357	89.45
YBL107C	P38162	85.87
YBR097W	P22219	77.22
YDR493W	Q03429	83.75
YPR198W	P33335	85.67
YLR056W	P32353	93.27
YJL185C	P46983	43.8
YOR190W	P32603	90.66
YGR031C-A	Q8TGN9	32.87
YLR429W	Q06440	78.79
YNL169C	P39006	68.08
YBR136W	P38111	84.24
YNL268W	P32487	78.98
YPR053C	Q6Q5F3	42.66
YKR045C	P36138	58.3
Q0010	Q9ZZX9	67.73
YPR106W	Q06098	80.43
YDR101C	Q03862	83.53
YKL018C-A	Q3E7A7	62.6
YDR182W-A	Q3E796	62.47
YEL034W	P23301	88.09
YHR031C	P38766	68.75
YKL126W	P12688	77.73
YLL060C	Q12390	92.38
YDR212W	P12612	87.7
YNL162W	P0CX27	93.63
YNL162W	P0CX28	93.56
YER144C	P39944	76.5
YGL037C	P53184	98.51
YBR039W	P38077	87.05
YDR476C	Q03362	92.94
YIL044C	P40529	72.01
YKR072C	P36024	61.85
YPL250C	Q12048	59.6
YBL089W	P38176	83.22
YCR020C-A	P23059	93.9
YDL131W	Q12122	86.24
YPL051W	Q02804	90.87
YER069W	Q01217	85.52
YAL048C	P39722	86.98
YDR458C	Q03281	68.67
YJR138W	P47170	67.03
YJL108C	P42946	86.37
YPR013C	Q12145	43.83
YOL039W	P05319	73.17
YDR081C	P32896	65.6
YPL121C	P32489	79.59
YNL257C	P38717	79.16
YBL067C	P38187	67.88
YKL074C	P36084	65.93
YLR310C	P04821	61.48
YPR068C	Q12214	90.8
YNL229C	P23202	82.45
YOR349W	P40987	88.63
YBR270C	P38346	61.23
YGL252C	P32608	89.83
YML056C	P50094	94.77
YBR087W	P38251	89.05
YKL087C	Q00873	82.02
YOL090W	P25847	82.77
YOR271C	Q12029	83.1
YOR173W	Q12123	88.04
YFR021W	P43601	74.95
YGL250W	P53060	72.07
YPR160W-A	P0C5S1	88.24
YPR202W	Q08993	62.82
YML064C	P38987	85.83
YGR260W	P53322	80.52
YPL270W	P33311	77.82
YIR004W	P40564	78.44
YLR342W	P38631	80.54
YGR159C	P27476	62.19
YDR113C	P40316	59.3
YDR168W	P06101	81.41
YAL025C	P10962	74.08
YIL092W	P40497	42.79
YGR006W	P33411	77.45
YOR106W	Q12241	68.51
YAR064W	P39563	52.83
YDR520C	Q04411	69.99
YML132W	P0CX12	86.27
YML132W	P0CX13	86.34
YPL248C	P04386	66.95
YBR026C	P38071	94.49
YOR108W	Q12166	91.44
YKL018W	P36104	93.08
YDR307W	Q06644	87.98
YER161C	P06843	68.17
YGL121C	P53130	77.18
YLR017W	Q07938	90.38
YJR079W	P47126	47.31
YBR197C	P38306	64.28
YGL040C	P05373	96.32
YML113W	P13483	56.45
YKL135C	P36000	76.64
YJR049C	P21373	75.35
YAL031C	P39732	69.13
YER131W	P39939	87.2
YGR130C	P53278	66.29
YKL112W	P14164	53.68
YBR027C	P38220	48.01
YHL042W	P38729	81.27
YNL042W-B	Q3E7Z2	38.06
YOR059C	Q08448	86.23
YIL136W	P16547	49.97
YER027C	Q04739	63.82
YBR177C	P38295	93.64
YHR022C-A	Q8TGT6	73.73
YML058W-A	Q6Q5K6	57.07
YDR265W	Q05568	82.32
YIR022W	P15367	92.46
YOL149W	Q12517	83.37
Q0255	P03881	83.11
YIL002W-A	Q3E7Z5	89.32
YPR058W	P32331	85.72
YDL076C	Q07458	76.45
YDL006W	P35182	93.52
YBR176W	P38122	92.83
YPL004C	Q12230	79.91
YNL248C	Q01080	85.58
YGR021W	P53212	82.79
YKR085C	P22354	91.33
YLR304C	P19414	95.62
YJR008W	P47085	96.52
YKR102W	P36170	50.99
YPR110C	P07703	93.63
YKL217W	P36035	78.06
YNR045W	P07390	68.68
YMR136W	P40209	56.67
YML091C	Q02773	76.57
YAL063C-A	Q3E791	45.79
YBR230W-A	Q3E762	93.94
YNR051C	P53741	65.23
YGR097W	P48361	55.76
YLL052C	P0CD90	69.1
YMR199W	P20437	67.75
YOR295W	Q08747	78.09
YIL133C	P26784	95.07
YDL086W	Q07505	97.18
YGL170C	P45819	46.03
YHR106W	P38816	92.34
YCR092C	P25336	80.99
YHR186C	P38873	75.11
YDR238C	P41810	82.07
YMR286W	P20084	95.94
YFL034W	P43564	59.98
YGL166W	P15315	67.04
YKR044W	P36137	84.63
YGL104C	P53142	90.35
YHL029C	P38738	71.6
YDR077W	Q01589	50.96
YDR381C-A	Q3E6R5	65.67
YHR048W	P38776	85.59
YJR002W	P47083	69.87
YGR149W	P48236	74.38
YJR145C	P0CX35	94.98
YJR145C	P0CX36	94.98
YBR090C	P38253	51.85
YIL123W	P40472	75.21
YHR039C-A	P48836	91.41
YKR080W	Q02046	94.6
YNL190W	P53872	63.62
YOR132W	P32913	77.67
YOR216C	Q12234	75.53
YBL071C-B	Q8TGU8	82.3
YHR073W-A	P0C5N7	55.25
YPL042C	P39073	72.15
YNL194C	P40169	79.6
YKL065W-A	Q2V2P2	66.16
YPR149W	Q12207	82.85
YIR001C	P40561	66.01
YJR048W	P00044	97.57
YDL083C	P0CX51	95.51
YDL083C	P0CX52	95.35
YHR035W	P38769	87.28
YOR099W	P27810	95.44
YPL172C	P21592	79.04
YPR009W	Q12286	64.23
YDR036C	P28817	92.33
YOR001W	Q12149	79.91
YLR027C	P23542	96.94
YDR057W	Q99220	67.75
YCR005C	P08679	94.47
YBR044C	P38228	85.61
YLR214W	P32791	86.31
YMR025W	Q04368	67.36
YGR195W	P46948	91
YER002W	P40007	80.04
YAL023C	P31382	89.61
YPL039W	Q03080	68.82
YDR513W	P17695	92.13
YIL153W	P40454	86.99
YPR051W	Q03503	92.91
YCL034W	P25369	77.12
YKR068C	P36149	93.1
YAL062W	P39708	96.03
YDR487C	Q99258	95.1
YML127W	Q03124	85.84
YNL080C	P53938	62.76
YCL026C-B	Q96VH4	97.57
YDR066C	Q12378	78.9
YPR134W	P08593	69.39
YIR002C	P40562	72.56
YKR027W	P36122	86.48
YBL068W	P38063	92.31
YLL062C	Q12525	95.51
YML005W	Q04235	88.54
YGR250C	P53316	60.12
YLR378C	P32915	72.15
YJR009C	P00358	98.39
YGL155W	P18898	94.09
YGL216W	P53086	71.67
YOR009W	Q12218	44.13
YCR020W-B	Q9URQ5	76.57
YJL173C	P26755	84.38
YKL081W	P36008	90.56
YPR118W	Q06489	95.52
YNR064C	P53750	96.82
YLR023C	Q07959	72.59
YBR216C	P38315	82.14
YKR022C	P36118	65.08
YLR425W	Q06412	66.94
YMR160W	Q03823	79.31
YDR352W	Q06328	78.66
YJR014W	P47089	72.86
YOR204W	P06634	76.84
YFL024C	P43572	70.29
YOR209C	P39683	95.29
YDR278C	Q05612	49.71
YIL108W	P40483	91.1
YHR165C	P33334	83.33
YNL145W	P34166	55.84
YNR068C	P53754	81.34
YHL006C	P38751	80.38
YGR029W	P27882	88.45
YHL025W	P18888	65.89
YGL125W	P53128	92.54
YJR135W-A	P57744	91.33
YGR038W	P53224	82.55
YGR008C	P16965	73.05
YPR019W	P30665	73.31
YEL062W	P39923	71.27
YNL323W	P42838	87.6
YNL003C	P38921	86.87
YCR094W	P25656	89.13
YJR045C	P0CS90	87.19
YPL213W	Q08963	77.78
YBR271W	P38347	84.31
YDR079C-A	Q3E7C1	89.51
YNL199C	Q01722	60.84
YHR172W	P38863	70.7
YNL048W	P53954	90.77
YDR204W	O13525	86.67
YHR002W	P38702	85.56
YJL176C	P32591	61.12
YJL193W	P39542	81.99
YOR284W	Q12134	47.74
YHR016C	P32793	67.58
YFL013C	P43579	65.13
YJR128W	P47162	33.3
YPR121W	Q06490	91.17
YER142C	P22134	87.53
YGR248W	P53315	96.3
YPL054W	Q02799	59.08
YIL067C	P40514	87.72
YDL024C	P52290	93.79
YGL094C	P53010	84.14
YGR131W	P53279	83.64
YKL198C	P36002	68.7
YCL028W	P25367	48.77
YOR036W	P32854	80.82
YLR073C	Q08003	76.41
YER035W	P40023	63.75
YBR084W	P09440	91.5
YHR079C	P32361	71.4
YHR169W	P38719	90.05
YNL072W	P53942	87.66
YAL026C	P39524	81.85
YAL014C	P31377	72.32
YGR163W	P53290	79.28
YHR054C	P38780	44.09
YPL123C	Q02933	88.66
YDR109C	Q04585	83.41
YJL159W	P32478	58.85
YIR019C	P08640	41.78
YOR154W	Q12232	68.01
YFL046W	P43557	85.36
YDR466W	Q03306	62.41
YLL008W	P32892	70.61
YMR096W	Q03148	95.01
YLL063C	Q12226	90.4
YLR449W	Q06205	69.04
YBR065C	P38241	77.56
YNL224C	P53866	63.77
YGR125W	P53273	74.33
YOR048C	Q02792	76.43
YPL144W	Q12245	87.88
YBR245C	P38144	74.59
YKR007W	Q02205	73.77
YML133C	Q03099	63.55
YOL073C	Q08232	73.59
YPR036W-A	Q3E752	69.88
YLL046C	P32385	77.38
YMR246W	P47912	93.07
YOL152W	Q12333	84.89
YDR427W	Q04062	70.39
YER145C	P40088	70.44
YDL044C	P10849	60.15
YJL030W	P40958	93.25
YLR089C	P52893	84.97
YJL047C	P47050	77.03
YOL101C	Q99393	79.82
YOR085W	P48439	86.79
YDL079C	P50873	75.16
YBR085W	P18238	92.69
YER176W	P32644	74.27
