uniprot	mode
P07255	0.34481734
P07256	0.111937866
P07257	0.12967238
P07258	0.12151648
P07259	0.13109703
P07260	0.12008025
P07261	0.9793024
P07263	0.12202883
P07264	0.11978448
P07267	0.12425834
P07269	0.97669643
P07270	0.9817692
P07271	0.14118047
P07272	0.13090591
P07273	0.11753543
P07274	0.120101035
P07276	0.97156966
P07277	0.12530828
P07278	0.15105389
P07280	0.41410905
P07281	0.37442556
P07283	0.12783682
P07284	0.15724844
P07286	0.16531676
P07342	0.12833875
P07347	0.119354986
P07560	0.12887289
P07702	0.12788978
P07703	0.10653852
P07834	0.15333566
P07866	0.11466006
P07884	0.13692665
P07991	0.11773123
P08004	0.9745935
P08018	0.9761897
P08067	0.13843861
P08153	0.97406685
P08417	0.14296386
P08425	0.12064035
P08432	0.13951075
P08458	0.1498552
P08466	0.14146003
P08518	0.14702673
P08524	0.12998876
P08525	0.27489424
P08536	0.13739021
P08539	0.109161906
P08566	0.12456879
P08638	0.14935666
P08640	0.9774086
P08678	0.9767351
P08679	0.14515376
P08964	0.1532537
P09032	0.1146175
P09064	0.11026584
P09119	0.11803037
P09201	0.1155566
P09232	0.15458934
P09440	0.12973496
P09547	0.14525244
P09620	0.11050376
P09624	0.13119304
P09733	0.12647633
P09734	0.125598
P09798	0.14938244
P09880	0.12902395
P09938	0.11756896
P09950	0.13119882
P09959	0.9769976
P0C0T4	0.18779229
P0C0V8	0.29774255
P0C0W9	0.3255877
P0C0X0	0.6949014
P0C2I2	0.9765285
P0C2I3	0.9762987
P0C2I5	0.97629577
P0C2I6	0.9763324
P0C2I9	0.9765018
P0C2J0	0.97657204
P0C2J1	0.9763324
P0C2J3	0.9758066
P0C2J7	0.13249461
P0C5R9	0.52395034
P0CD91	0.16105238
P0CE41	0.97586775
P0CG63	0.34948587
P0CH08	0.25787988
P0CH09	0.25787988
P0CS90	0.9719903
P0CT04	0.21785669
P0CX25	0.14036469
P0CX26	0.14036469
P0CX27	0.44702816
P0CX28	0.44702816
P0CX29	0.14942533
P0CX30	0.14942533
P0CX31	0.3111378
P0CX32	0.3111378
P0CX35	0.13272074
P0CX36	0.13272074
P0CX37	0.21979001
P0CX38	0.21979001
P0CX39	0.46724316
P0CX40	0.46724316
P0CX41	0.18983175
P0CX42	0.18983175
P0CX43	0.12902018
P0CX44	0.12902018
P0CX45	0.9527363
P0CX46	0.9527363
P0CX47	0.11265841
P0CX48	0.11265841
P0CX49	0.13607854
P0CX50	0.13607854
P0CX51	0.14730531
P0CX53	0.4992113
P0CX54	0.4992113
P0CX55	0.12859586
P0CX56	0.12859586
P0CX63	0.97581625
P0CX64	0.97581625
P0CX77	0.14175996
P0CX78	0.14175996
P0CX79	0.14175996
P0CX80	0.114244
P0CX81	0.114244
P0CX82	0.9572722
P0CX83	0.9572722
P0CX84	0.15280116
P0CX85	0.15280116
P0CY06	0.123957604
P0CY08	0.16563234
P0CZ17	0.14175996
P10080	0.9714087
P10081	0.12992802
P10127	0.12788919
P10174	0.3321112
P10363	0.12608509
P10507	0.14017326
P10591	0.12138444
P10592	0.13069932
P10614	0.1451068
P10622	0.12741832
P10659	0.13127528
P10664	0.1283939
P10823	0.9766818
P10862	0.97624946
P10863	0.9767536
P10870	0.9744695
P10961	0.97609824
P10962	0.9771632
P10964	0.14304143
P11075	0.15459958
P11076	0.124662936
P11154	0.14583692
P11325	0.1251195
P11353	0.14818913
P11412	0.16109668
P11433	0.14695261
P11484	0.1954972
P11491	0.11656457
P11632	0.964425
P11633	0.9588864
P11655	0.12613511
P11709	0.975744
P11710	0.5450313
P11745	0.121672794
P11746	0.9789072
P11747	0.97660047
P11792	0.14129026
P11914	0.11188984
P11938	0.976328
P11972	0.14662524
P11978	0.97609484
P11986	0.12098282
P12383	0.1462735
P12385	0.13968477
P12611	0.11063256
P12630	0.14166465
P12683	0.11981295
P12684	0.1489885
P12688	0.15218203
P12689	0.14922562
P12695	0.1165939
P12709	0.1301373
P12753	0.15272266
P12754	0.10760045
P12866	0.1337133
P12868	0.13819194
P12904	0.11380949
P12945	0.138502
P12954	0.14829715
P12962	0.9747704
P13099	0.13929188
P13134	0.25195444
P13185	0.9765425
P13186	0.9758433
P13259	0.97562754
P13365	0.16080031
P13382	0.14969069
P13393	0.10652064
P13433	0.13175966
P13517	0.12714371
P13574	0.9751792
P13586	0.14471021
P13587	0.1270785
P13663	0.13454993
P13712	0.12023121
P13856	0.118194655
P14020	0.13038021
P14064	0.97481734
P14065	0.13746385
P14120	0.118489414
P14126	0.11513251
P14164	0.97727215
P14180	0.118592516
P14242	0.13988781
P14284	0.14924428
P14291	0.11439437
P14306	0.21908388
P14540	0.1479866
P14680	0.9765127
P14681	0.14744103
P14682	0.973147
P14693	0.22464481
P14724	0.9735544
P14736	0.15013736
P14737	0.974025
P14741	0.12233832
P14742	0.13094479
P14743	0.14326838
P14747	0.117878735
P14772	0.148804
P14832	0.14747454
P14904	0.13834354
P14906	0.11773482
P14907	0.9740875
P14908	0.12063196
P14922	0.97743857
P15019	0.13202168
P15108	0.119715825
P15180	0.14862499
P15202	0.12590528
P15274	0.110389814
P15303	0.13216293
P15315	0.8936297
P15367	0.16543248
P15424	0.153772
P15436	0.1443324
P15442	0.14594805
P15454	0.14192155
P15496	0.15800714
P15565	0.11199945
P15624	0.11780943
P15625	0.14918071
P15646	0.9780242
P15700	0.13487126
P15703	0.12659122
P15705	0.97692835
P15731	0.10885829
P15732	0.11137602
P15790	0.13749056
P15801	0.14908412
P15807	0.14150481
P15873	0.12609935
P15891	0.9773173
P15938	0.1468282
P15992	0.4716279
P16140	0.17246938
P16370	0.11113069
P16387	0.123970486
P16451	0.14885965
P16467	0.13723212
P16474	0.15910497
P16521	0.1286672
P16522	0.12860394
P16550	0.115158215
P16603	0.13511951
P16622	0.14468285
P16649	0.97670007
P16658	0.1594272
P16661	0.1311691
P16664	0.13376199
P16861	0.124268144
P16862	0.15239416
P16892	0.12313251
P17064	0.13436708
P17065	0.9764274
P17076	0.17796212
P17106	0.98187685
P17119	0.15417992
P17157	0.12726218
P17214	0.14886159
P17255	0.12715948
P17260	0.9693773
P17442	0.1275624
P17505	0.23855287
P17536	0.97904587
P17555	0.121156715
P17629	0.15434355
P17649	0.1397898
P17695	0.12769246
P17709	0.12860632
P17883	0.14853331
P17890	0.96758527
P17891	0.97396207
P17898	0.15841031
P17967	0.13143335
P18238	0.10609025
P18239	0.11115168
P18409	0.13098596
P18410	0.17035446
P18412	0.16286677
P18480	0.9776386
P18494	0.9756013
P18562	0.13210323
P18759	0.13775665
P18851	0.11611995
P18852	0.10786499
P18888	0.96767414
P18898	0.13228269
P18899	0.97820044
P18961	0.11857446
P19073	0.12563005
P19097	0.1421512
P19145	0.14130631
P19146	0.11648934
P19211	0.2001977
P19262	0.12692979
P19263	0.14531487
P19358	0.13619028
P19414	0.116211995
P19454	0.13383298
P19524	0.11331782
P19541	0.14802332
P19657	0.16452974
P19658	0.15048832
P19659	0.97649544
P19807	0.17320189
P19812	0.13993871
P19880	0.97761995
P19882	0.1555983
P19955	0.14967084
P20050	0.1323842
P20052	0.12790228
P20053	0.115661815
P20081	0.15125635
P20095	0.15418985
P20107	0.1563367
P20133	0.13488661
P20134	0.9751757
P20424	0.9772075
P20433	0.12859109
P20434	0.13798368
P20435	0.9674142
P20436	0.15389079
P20447	0.15238178
P20448	0.115562126
P20449	0.15002257
P20457	0.13724594
P20459	0.11283103
P20485	0.10886274
P20486	0.13917845
P20604	0.1378846
P20606	0.12749912
P20676	0.983758
P20795	0.12812102
P20840	0.11502333
P20967	0.14659226
P21147	0.19216782
P21182	0.13302067
P21190	0.11560689
P21192	0.9717129
P21242	0.104078904
P21243	0.13332205
P21268	0.11280298
P21269	0.12308298
P21372	0.1522605
P21373	0.111846104
P21374	0.35562164
P21375	0.13964304
P21524	0.11438609
P21538	0.97711027
P21560	0.12904945
P21576	0.12059797
P21592	0.12956592
P21651	0.97466135
P21672	0.11372672
P21691	0.12852192
P21734	0.2279682
P21801	0.11680946
P21825	0.2614088
P21826	0.14698592
P21827	0.15043932
P21951	0.12820175
P21954	0.13785934
P21957	0.9733931
P21965	0.14760648
P22007	0.12951821
P22082	0.9769213
P22108	0.12286954
P22133	0.11912436
P22134	0.13661653
P22137	0.13799496
P22138	0.14321747
P22139	0.15467432
P22140	0.1562244
P22141	0.120290756
P22146	0.11488704
P22147	0.15148905
P22148	0.9775379
P22149	0.9316815
P22203	0.12593769
P22204	0.12013632
P22211	0.97482234
P22213	0.13547766
P22214	0.20916456
P22216	0.11351393
P22217	0.12118672
P22219	0.14135972
P22224	0.14557305
P22276	0.14591502
P22289	0.41038615
P22336	0.14432849
P22515	0.14642242
P22516	0.15713063
P22517	0.10807775
P22543	0.13882259
P22579	0.976324
P22696	0.95600474
P22768	0.113577366
P22803	0.117368594
P22804	0.92211
P22855	0.14721628
P22936	0.15519258
P22943	0.990515
P23179	0.13152853
P23201	0.9769157
P23202	0.115697324
P23254	0.11535245
P23255	0.1509728
P23287	0.15373024
P23291	0.97684246
P23292	0.97703123
P23293	0.9771035
P23301	0.28982827
P23337	0.1494542
P23394	0.112706974
P23503	0.14043105
P23542	0.12071842
P23561	0.11096285
P23585	0.14142536
P23594	0.14541487
P23595	0.14776927
P23615	0.15074742
P23638	0.14822292
P23639	0.126888
P23642	0.1167192
P23643	0.15480025
P23644	0.13414279
P23724	0.13009796
P23776	0.13156174
P23900	0.97737396
P23968	0.13264918
P24004	0.14428332
P24276	0.97674537
P24279	0.97545326
P24280	0.14512573
P24309	0.15118639
P24384	0.15402919
P24482	0.15628609
P24583	0.9751277
P24783	0.9728836
P24784	0.97480226
P24813	0.115465626
P24814	0.15928732
P24867	0.13723832
P24868	0.14257619
P24869	0.9714438
P24870	0.124476954
P25037	0.9768086
P25042	0.97559375
P25043	0.1274372
P25044	0.1366796
P25045	0.13879922
P25046	0.97628796
P25087	0.10928957
P25293	0.9733053
P25294	0.9805101
P25296	0.14245205
P25297	0.14155999
P25298	0.13815066
P25299	0.12612122
P25300	0.12536955
P25301	0.11856249
P25302	0.973716
P25303	0.9627969
P25333	0.9727233
P25336	0.15092546
P25340	0.1472981
P25341	0.97065926
P25342	0.13049743
P25343	0.13415563
P25344	0.97468615
P25346	0.16346636
P25348	0.22220635
P25349	0.3029641
P25353	0.11330877
P25357	0.97670025
P25358	0.16173433
P25359	0.13550888
P25364	0.967274
P25368	0.1165491
P25369	0.15150273
P25373	0.11610186
P25374	0.14373437
P25375	0.12037206
P25376	0.14903265
P25377	0.1195401
P25378	0.12763599
P25382	0.14231938
P25384	0.9758948
P25385	0.9555862
P25386	0.97279716
P25389	0.97151804
P25390	0.14564055
P25441	0.9768867
P25443	0.17515844
P25451	0.13370156
P25453	0.13556337
P25454	0.119232975
P25491	0.41419077
P25502	0.15907402
P25515	0.17332184
P25554	0.2844103
P25555	0.97700566
P25573	0.20262726
P25574	0.1300764
P25576	0.12981662
P25580	0.11670138
P25582	0.97412705
P25583	0.15976107
P25586	0.15065938
P25588	0.98217446
P25591	0.9406352
P25604	0.11460015
P25605	0.13898793
P25613	0.29526585
P25615	0.14826857
P25618	0.15191431
P25623	0.9769157
P25627	0.1563625
P25632	0.9595315
P25635	0.11121674
P25637	0.22054735
P25641	0.12380202
P25644	0.97706336
P25646	0.11885078
P25648	0.14870329
P25651	0.22170287
P25653	0.24833514
P25655	0.14936689
P25656	0.23652667
P25693	0.11914952
P25694	0.148597
P25719	0.12977841
P25808	0.11261787
P25846	0.14287235
P25847	0.12180424
P26188	0.119926274
P26263	0.123499185
P26309	0.116237015
P26321	0.13717994
P26364	0.3051455
P26370	0.15988393
P26448	0.144903
P26449	0.12725827
P26570	0.9771998
P26754	0.11374109
P26755	0.10913853
P26783	0.11989634
P26784	0.203861
P26785	0.11666775
P26786	0.13325188
P26793	0.14690575
P27351	0.1509592
P27466	0.123006955
P27472	0.11606495
P27476	0.98546076
P27514	0.14815131
P27515	0.14837523
P27614	0.14242126
P27616	0.10811341
P27636	0.15738541
P27637	0.97570056
P27654	0.13770802
P27680	0.124323726
P27692	0.9773445
P27697	0.1457673
P27705	0.99115336
P27796	0.10868752
P27801	0.13764364
P27809	0.15164056
P27810	0.13285835
P27825	0.117242336
P27882	0.17163217
P27895	0.14883533
P27999	0.18261889
P28000	0.9744934
P28004	0.9632728
P28005	0.14881283
P28007	0.97739565
P28240	0.113281645
P28241	0.1412187
P28263	0.9721918
P28272	0.121236086
P28273	0.15041034
P28274	0.123298496
P28319	0.9643401
P28320	0.97559524
P28321	0.1245195
P28495	0.12701885
P28496	0.17442524
P28519	0.964218
P28627	0.12796986
P28707	0.974463
P28708	0.15140308
P28737	0.13127893
P28742	0.14217567
P28743	0.97335607
P28777	0.9689445
P28791	0.41818592
P28795	0.12122
P28817	0.12538698
P28834	0.13221765
P29029	0.11212851
P29055	0.14851564
P29056	0.15002805
P29295	0.9770833
P29311	0.15456435
P29340	0.11392973
P29366	0.1538583
P29453	0.17314649
P29461	0.1494694
P29465	0.15145959
P29468	0.14630279
P29469	0.15001668
P29496	0.12847309
P29509	0.13969536
P29539	0.15489036
P29547	0.10949598
P29703	0.12628323
P29704	0.14343968
P29952	0.15059799
P30283	0.15165368
P30605	0.15611562
P30619	0.15355968
P30620	0.14622274
P30624	0.12875031
P30656	0.130682
P30657	0.13776633
P30665	0.118169874
P30771	0.14830162
P30775	0.17310417
P30822	0.13255146
P30902	0.3706727
P30952	0.13267018
P31109	0.9580411
P31111	0.97637093
P31115	0.13916308
P31116	0.1255874
P31244	0.109616645
P31373	0.12126543
P31374	0.1487259
P31376	0.97651356
P31377	0.11137934
P31378	0.14212292
P31380	0.976941
P31382	0.15669104
P31383	0.14969242
P31384	0.15139394
P31385	0.117811985
P31386	0.13176797
P31412	0.12946166
P31539	0.14830995
P31688	0.14657363
P31755	0.21418227
P32074	0.14405906
P32178	0.11494999
P32179	0.184582
P32259	0.14186108
P32266	0.1491386
P32288	0.12367222
P32316	0.12714754
P32318	0.13888621
P32319	0.1507031
P32323	0.9770603
P32324	0.13946077
P32325	0.11205506
P32327	0.13591321
P32328	0.11891888
P32329	0.14091727
P32332	0.10923117
P32333	0.14533861
P32334	0.9740515
P32335	0.10182631
P32336	0.97464323
P32337	0.13653615
P32338	0.109935775
P32340	0.14583424
P32342	0.9715843
P32343	0.97677124
P32344	0.9680176
P32345	0.13375217
P32347	0.13319445
P32349	0.15175183
P32350	0.19215259
P32352	0.13258135
P32353	0.16772568
P32354	0.9697712
P32356	0.1105204
P32357	0.13655251
P32361	0.1504088
P32363	0.10911278
P32364	0.116656244
P32366	0.120259345
P32367	0.11393763
P32368	0.12881078
P32377	0.12590542
P32379	0.14247665
P32380	0.97409546
P32381	0.149102
P32383	0.14415652
P32386	0.15105334
P32389	0.97863126
P32419	0.13974851
P32432	0.98201215
P32447	0.9774711
P32454	0.12771256
P32457	0.9752661
P32458	0.119951494
P32461	0.123182975
P32462	0.17291687
P32465	0.13719758
P32466	0.13481402
P32467	0.13916934
P32468	0.3028326
P32471	0.17002463
P32472	0.1358107
P32474	0.1301509
P32476	0.12266948
P32478	0.9735086
P32479	0.11564302
P32480	0.1460647
P32481	0.11278571
P32485	0.14412957
P32486	0.9745422
P32490	0.10940269
P32491	0.11163168
P32492	0.13930468
P32494	0.9768442
P32495	0.16444458
P32497	0.1542067
P32499	0.9738785
P32500	0.14708894
P32501	0.14008296
P32502	0.14640674
P32504	0.14979687
P32505	0.97710145
P32521	0.97733015
P32523	0.12549981
P32524	0.11920306
P32526	0.14632848
P32527	0.97276366
P32528	0.13004747
P32529	0.19884242
P32558	0.15174526
P32561	0.11762542
P32562	0.14568573
P32563	0.14743173
P32565	0.1450409
P32566	0.976784
P32567	0.9767128
P32568	0.11558725
P32569	0.14103694
P32570	0.12834284
P32571	0.14018777
P32573	0.14045158
P32578	0.9730351
P32579	0.122948304
P32580	0.13209121
P32581	0.1504556
P32582	0.14600646
P32584	0.33627826
P32585	0.14597994
P32588	0.9769051
P32589	0.12642005
P32591	0.97671473
P32597	0.12876335
P32598	0.13097693
P32599	0.14722258
P32600	0.15184551
P32602	0.121189535
P32603	0.1273545
P32604	0.13269278
P32605	0.17335734
P32607	0.8936576
P32608	0.1348645
P32609	0.11283296
P32610	0.1275517
P32614	0.13435486
P32621	0.14985427
P32622	0.15043795
P32623	0.12468384
P32626	0.13026273
P32628	0.97754335
P32629	0.20516676
P32639	0.14176172
P32641	0.13530958
P32642	0.1527679
P32643	0.12822172
P32644	0.15311989
P32657	0.97750556
P32660	0.15091354
P32767	0.12008573
P32768	0.97396946
P32769	0.15107334
P32771	0.1157005
P32773	0.97251534
P32774	0.13497525
P32776	0.12154056
P32783	0.1230634
P32784	0.110175304
P32789	0.13960227
P32790	0.97732717
P32791	0.122386605
P32793	0.9768225
P32794	0.11770138
P32795	0.11698479
P32796	0.13892758
P32797	0.112635866
P32798	0.16299495
P32799	0.2753836
P32800	0.14784588
P32801	0.11853352
P32802	0.25999665
P32803	0.22280917
P32807	0.14230001
P32828	0.9749577
P32829	0.9737223
P32830	0.12015875
P32832	0.97646135
P32833	0.97653717
P32835	0.11879846
P32838	0.112618566
P32839	0.115223736
P32842	0.1473905
P32844	0.12564853
P32849	0.14673258
P32854	0.76753044
P32855	0.14243941
P32860	0.14745784
P32861	0.14212042
P32862	0.9770415
P32863	0.14699414
P32864	0.15212712
P32867	0.76643205
P32873	0.96366596
P32874	0.14481989
P32891	0.14318405
P32892	0.9782133
P32893	0.12769593
P32895	0.110431045
P32897	0.14164424
P32898	0.14087805
P32899	0.110228635
P32900	0.98097855
P32901	0.16292962
P32905	0.12809324
P32906	0.12118442
P32908	0.1450502
P32909	0.9767567
P32910	0.12377684
P32911	0.10804566
P32912	0.90211976
P32913	0.15565199
P32914	0.1468919
P32915	0.14580566
P32916	0.11669436
P32917	0.15279803
P32939	0.15784481
P32943	0.14613542
P32944	0.97029316
P33122	0.76446396
P33201	0.14647156
P33202	0.14523365
P33203	0.14599395
P33296	0.4097661
P33297	0.54525864
P33298	0.11574498
P33299	0.13803697
P33300	0.116469726
P33301	0.15380897
P33302	0.15665534
P33307	0.12405885
P33308	0.92279124
P33309	0.12566142
P33310	0.1387838
P33313	0.12138236
P33314	0.14504461
P33317	0.30850363
P33322	0.11236924
P33328	0.9739181
P33329	0.9767547
P33330	0.148871
P33332	0.9768634
P33333	0.14290516
P33334	0.12993327
P33336	0.9761816
P33338	0.11109131
P33339	0.11208825
P33399	0.9661214
P33400	0.97126156
P33401	0.13212565
P33413	0.14125466
P33416	0.11123484
P33418	0.12581748
P33419	0.9756869
P33420	0.14794648
P33421	0.1321957
P33441	0.9771085
P33442	0.121972844
P33734	0.13850716
P33748	0.9731188
P33749	0.9721794
P33751	0.12043847
P33753	0.11282509
P33754	0.14231841
P33755	0.14696433
P33760	0.13036783
P33767	0.15493895
P33775	0.16471598
P33891	0.12940519
P33892	0.13562216
P33895	0.15721278
P34077	0.14458498
P34078	0.97560644
P34087	0.14207667
P34110	0.13051185
P34111	0.14802688
P34160	0.12747191
P34161	0.9763186
P34162	0.119287685
P34163	0.14685409
P34164	0.9764792
P34167	0.9876017
P34216	0.97632635
P34217	0.97699106
P34218	0.14205706
P34219	0.8886734
P34221	0.14939524
P34223	0.9777025
P34225	0.14242335
P34226	0.9753501
P34227	0.13246357
P34230	0.14068808
P34233	0.97599816
P34241	0.14461286
P34243	0.13762039
P34244	0.9749113
P34247	0.88792545
P34252	0.98302066
P34730	0.971082
P34756	0.9756454
P34758	0.9804741
P34760	0.108443365
P34761	0.9750095
P34909	0.9742852
P35056	0.97392225
P35169	0.14088728
P35177	0.97697085
P35179	0.815279
P35180	0.820433
P35181	0.13597172
P35182	0.13345152
P35187	0.9742149
P35189	0.12296036
P35191	0.12915619
P35192	0.15743545
P35193	0.15371007
P35194	0.14748728
P35196	0.10903292
P35197	0.9773183
P35200	0.12296316
P35201	0.9735113
P35203	0.15657678
P35206	0.14237711
P35207	0.14622475
P35208	0.9725163
P35688	0.13868886
P35691	0.17576966
P35718	0.11482437
P35728	0.9693158
P35729	0.12496268
P35732	0.98300683
P35734	0.97674066
P35817	0.9771985
P35843	0.10484072
P35844	0.11861868
P35845	0.15174621
P35997	0.12989125
P35999	0.12712502
P36000	0.13920903
P36003	0.9714242
P36005	0.139225
P36006	0.11568345
P36007	0.14305401
P36009	0.13959931
P36010	0.1458391
P36012	0.9722316
P36013	0.15227458
P36014	0.121356286
P36015	0.12627746
P36016	0.20048594
P36017	0.120621644
P36018	0.1324425
P36022	0.14360444
P36024	0.97696686
P36027	0.9729785
P36033	0.12751749
P36035	0.16242668
P36037	0.12705927
P36041	0.9841989
P36046	0.9799987
P36047	0.12037939
P36048	0.14923137
P36049	0.982295
P36051	0.14967829
P36056	0.16617441
P36057	0.12713932
P36060	0.13409266
P36068	0.13148434
P36075	0.11021902
P36076	0.97737944
P36077	0.12534589
P36080	0.98714554
P36081	0.12296045
P36084	0.9767918
P36088	0.12891898
P36091	0.11567119
P36094	0.96885926
P36095	0.97784805
P36096	0.13844001
P36100	0.9770544
P36102	0.1492397
P36104	0.13153571
P36105	0.11889449
P36107	0.18652137
P36108	0.9743831
P36112	0.111184865
P36113	0.124307245
P36116	0.96866405
P36117	0.117421195
P36119	0.9763062
P36122	0.14618343
P36123	0.97601795
P36124	0.11256273
P36126	0.14108938
P36130	0.11435322
P36131	0.14789766
P36132	0.12755868
P36135	0.11476016
P36136	0.23109573
P36143	0.9770139
P36146	0.13982227
P36148	0.15859994
P36149	0.1462025
P36152	0.1344342
P36156	0.15297766
P36160	0.97406065
P36161	0.12594372
P36162	0.974172
P36163	0.12689161
P36165	0.14042845
P36170	0.97614056
P36421	0.15791255
P36531	0.95997643
P36775	0.11188835
P37012	0.13861029
P37020	0.13083711
P37254	0.13030833
P37292	0.11247255
P37296	0.15127742
P37297	0.14769195
P37298	0.15725654
P37299	0.17037728
P37303	0.13283844
P37366	0.12383917
P37370	0.98531
P37838	0.9767001
P38009	0.1232
P38011	0.12423751
P38013	0.1358751
P38041	0.97585565
P38042	0.15127113
P38063	0.12671663
P38069	0.14627367
P38070	0.15073864
P38071	0.15964702
P38074	0.116523884
P38075	0.22332266
P38077	0.12596337
P38080	0.97657144
P38084	0.13663082
P38085	0.16013771
P38086	0.14197007
P38088	0.11702597
P38109	0.13923863
P38110	0.15170246
P38111	0.14052597
P38112	0.11930989
P38115	0.12947878
P38116	0.11677158
P38121	0.115591794
P38123	0.12437322
P38125	0.16361125
P38128	0.9498395
P38129	0.9767066
P38130	0.12518142
P38132	0.14263634
P38137	0.11044672
P38138	0.12525314
P38139	0.12726977
P38140	0.15131609
P38143	0.12464998
P38144	0.14260876
P38146	0.11447735
P38147	0.13795362
P38149	0.11738445
P38153	0.1441308
P38165	0.9752108
P38167	0.9759327
P38169	0.12426796
P38170	0.9726795
P38174	0.11741112
P38181	0.14179334
P38182	0.12566993
P38198	0.14098532
P38199	0.11716562
P38203	0.12884857
P38205	0.116018906
P38207	0.13665324
P38208	0.12065628
P38211	0.16737787
P38212	0.97274923
P38217	0.14392322
P38221	0.137141
P38225	0.12838106
P38227	0.1553484
P38228	0.12503639
P38236	0.9706236
P38237	0.14755625
P38238	0.10801692
P38242	0.13481823
P38244	0.1982153
P38247	0.12959531
P38248	0.11948516
P38249	0.11345422
P38250	0.97875977
P38251	0.12833935
P38255	0.94270444
P38257	0.1989957
P38261	0.14240833
P38262	0.14441305
P38263	0.122048795
P38264	0.2955055
P38265	0.12006028
P38266	0.99347544
P38270	0.15124726
P38272	0.97568864
P38273	0.14837113
P38274	0.14935085
P38279	0.18463883
P38283	0.9777281
P38285	0.14282784
P38286	0.1454939
P38287	0.111716464
P38289	0.13282347
P38291	0.1515795
P38295	0.11300759
P38297	0.11680612
P38298	0.1359812
P38301	0.13007367
P38304	0.613446
P38307	0.19534273
P38310	0.9609659
P38313	0.11693815
P38316	0.96321774
P38319	0.15251532
P38323	0.14022754
P38324	0.12463299
P38328	0.14383349
P38329	0.15830803
P38332	0.1298265
P38333	0.11846192
P38334	0.16362828
P38336	0.12765147
P38339	0.1548264
P38340	0.30376238
P38341	0.31657907
P38342	0.15426092
P38344	0.9706237
P38345	0.9825333
P38348	0.13822326
P38351	0.97759116
P38352	0.14756681
P38353	0.1648153
P38356	0.97407174
P38360	0.15036732
P38361	0.15634812
P38426	0.14896305
P38427	0.115469545
P38428	0.97295475
