uniprot	mean
P22137	0.17958932
P22138	0.25564507
P22139	0.172312
P22140	0.22582328
P22141	0.18263663
P22146	0.27292827
P22147	0.34927353
P22148	0.60429144
P22149	0.7046702
P22203	0.3426925
P22204	0.34547395
P22211	0.7005025
P22213	0.29005215
P22214	0.36480415
P22216	0.37728477
P22217	0.16208659
P22219	0.22976346
P22224	0.23774685
P22276	0.25120312
P22289	0.40726495
P22336	0.28444564
P22515	0.24451363
P22516	0.26402137
P22517	0.347109
P22543	0.232594
P22579	0.55589026
P22696	0.7191641
P22768	0.24264893
P22803	0.18031874
P22804	0.82426286
P22855	0.21971658
P22936	0.35710263
P22943	0.98800594
P23179	0.19834213
P23201	0.76544434
P23202	0.38977647
P23254	0.29726163
P23255	0.3034602
P23287	0.372053
P23291	0.6086777
P23292	0.61545974
P23293	0.55430096
P23301	0.33993185
P23337	0.27644905
P23394	0.3322096
P23503	0.29251853
P23542	0.16004361
P23561	0.34246883
P23585	0.322887
P23594	0.33666244
P23595	0.35351434
P23615	0.38737285
P23638	0.23463108
P23639	0.20887479
P23642	0.30350444
P23643	0.26667365
P23644	0.21568151
P23724	0.19383189
P23776	0.15748484
P23900	0.5985479
P23968	0.3066994
P24004	0.20105313
P24276	0.5218999
P24279	0.4799905
P24280	0.27239418
P24309	0.2707622
P24384	0.33840215
P24482	0.32498577
P24583	0.506783
P24783	0.4548883
P24784	0.4893139
P24813	0.52173114
P24814	0.33323124
P24867	0.26398018
P24868	0.33585262
P24869	0.5046821
P24870	0.42630562
P25037	0.47974697
P25042	0.8230267
P25043	0.17575864
P25044	0.25778025
P25045	0.2208583
P25046	0.73960805
P25087	0.33851412
P25293	0.5545964
P25294	0.85801107
P25296	0.38919103
P25297	0.30736396
P25298	0.24691254
P25299	0.41685802
P25300	0.15647541
P25301	0.18718962
P25302	0.63812965
P25303	0.58188343
P25333	0.54210585
P25336	0.24934971
P25340	0.26695833
P25341	0.47947982
P25342	0.18272251
P25343	0.226884
P25344	0.50372785
P25346	0.30012006
P25348	0.42160094
P25349	0.45227063
P25353	0.3789621
P25357	0.7924783
P25358	0.30732998
P25359	0.17959686
P25364	0.6551689
P25368	0.24197026
P25369	0.45125562
P25373	0.21368544
P25374	0.28755915
P25375	0.17196077
P25376	0.3849792
P25377	0.14117022
P25378	0.20339693
P25382	0.24523665
P25384	0.46718064
P25385	0.71285826
P25386	0.5881036
P25389	0.5393233
P25390	0.21282125
P25441	0.8570444
P25443	0.38042662
P25451	0.15560329
P25453	0.24797565
P25454	0.36512008
P25491	0.41820848
P25502	0.3764132
P25515	0.25447327
P25554	0.5199047
P25555	0.58660126
P25573	0.4010771
P25574	0.17963189
P25576	0.14719713
P25580	0.2502171
P25582	0.60951334
P25583	0.3667444
P25586	0.38570935
P25588	0.8199818
P25591	0.7558257
P25604	0.3788598
P25605	0.33108684
P25613	0.35927767
P25615	0.2654398
P25618	0.25192457
P25623	0.55699575
P25627	0.45880535
P25632	0.5926186
P25635	0.2905005
P25637	0.35461283
P25641	0.3865914
P25644	0.5713557
P25646	0.22074759
P25648	0.23165195
P25651	0.22045304
P25653	0.43403688
P25655	0.24425653
P25656	0.3537942
P25693	0.3053768
P25694	0.44359088
P25719	0.15883021
P25808	0.32390532
P25846	0.17813385
P25847	0.21396285
P26188	0.14781792
P26263	0.1495529
P26309	0.45001376
P26321	0.43556353
P26364	0.31863904
P26370	0.19192539
P26448	0.16756624
P26449	0.1453584
P26570	0.63314915
P26754	0.3704204
P26755	0.30743814
P26783	0.35334286
P26784	0.19115749
P26785	0.30057725
P26786	0.279042
P26793	0.3400078
P27351	0.26487887
P27466	0.3894664
P27472	0.28679997
P27476	0.89954585
P27514	0.37154892
P27515	0.22712375
P27614	0.2490702
P27616	0.30005
P27636	0.27060798
P27637	0.8744664
P27654	0.5253538
P27680	0.15940094
P27692	0.6757695
P27697	0.2745636
P27705	0.956604
P27796	0.2680004
P27801	0.16766201
P27809	0.2840227
P27810	0.16070928
P27825	0.43723994
P27882	0.43319097
P27895	0.37236303
P27999	0.30105707
P28000	0.5414644
P28004	0.7351375
P28005	0.19851919
P28007	0.64298856
P28240	0.29488543
P28241	0.20673499
P28263	0.5300526
P28272	0.20878743
P28273	0.24872524
P28274	0.1792611
P28319	0.5655367
P28320	0.7210491
P28321	0.2111528
P28495	0.15925545
P28496	0.41354448
P28519	0.7344181
P28627	0.18231209
P28707	0.5847449
P28708	0.37656122
P28737	0.1775886
P28742	0.30503392
P28743	0.54705375
P28777	0.55376035
P28791	0.39237294
P28795	0.19677699
P28817	0.1879433
P28834	0.2612234
P29029	0.3955203
P29055	0.34760094
P29056	0.5199544
P29295	0.45203033
P29311	0.42912596
P29340	0.171665
P29366	0.41067827
P29453	0.37173426
P29461	0.34741288
P29465	0.4161225
P29468	0.31032112
P29469	0.4606767
P29496	0.23324904
P29509	0.27402973
P29539	0.47373334
P29547	0.30940983
P29703	0.16075298
P29704	0.20902939
P29952	0.38077593
P30283	0.42206955
P30605	0.28843898
P30619	0.28565305
P30620	0.2909829
P30624	0.21473959
P30656	0.19808254
P30657	0.242713
P30665	0.37677625
P30771	0.2526545
P30775	0.4853671
P30822	0.15598874
P30902	0.4023202
P30952	0.2127065
P31109	0.8416112
P31111	0.8105304
P31115	0.2881027
P31116	0.21174367
P31244	0.327554
P31373	0.32895082
P31374	0.4941437
P31376	0.66151065
P31377	0.55064315
P31378	0.2855285
P31380	0.5222377
P31382	0.35810825
P31383	0.20051831
P31384	0.43980768
P31385	0.50781333
P31386	0.281948
P31412	0.16550852
P31539	0.3583011
P31688	0.25626165
P31755	0.33023882
P32074	0.20046966
P32178	0.17482698
P32179	0.24555114
P32259	0.17912029
P32266	0.29173127
P32288	0.3532079
P32316	0.27457693
P32318	0.1793835
P32319	0.25211337
P32323	0.54311824
P32324	0.25342464
P32325	0.5664934
P32327	0.27422935
P32328	0.33913422
P32329	0.29916698
P32332	0.18230261
P32333	0.29088524
P32334	0.73563415
P32335	0.30096653
P32336	0.5628148
P32337	0.19030367
P32338	0.36027923
P32340	0.24586645
P32342	0.70397025
P32343	0.5077003
P32344	0.7978762
P32345	0.17693175
P32347	0.1974857
P32349	0.32557535
P32350	0.38128397
P32352	0.20496053
P32353	0.2961915
P32354	0.5741697
P32356	0.31804258
P32357	0.31030414
P32361	0.34064963
P32363	0.248262
P32364	0.39775494
P32366	0.1359142
P32367	0.39596882
P32368	0.20378383
P32377	0.26500475
P32379	0.23011392
P32380	0.6450591
P32381	0.24040316
P32383	0.28524536
P32386	0.32205242
P32389	0.7836194
P32419	0.16469063
P32432	0.81645936
P32447	0.58518815
P32454	0.15517999
P32457	0.4959738
P32458	0.39807683
P32461	0.34065583
P32462	0.22140482
P32465	0.32077804
P32466	0.30456042
P32467	0.34374464
P32468	0.47780374
P32471	0.3618445
P32472	0.19873835
P32474	0.19982122
P32476	0.17584224
P32478	0.7814801
P32479	0.38649124
P32480	0.26641294
P32481	0.29462492
P32485	0.22046544
P32486	0.52899605
P32490	0.4335601
P32491	0.33043182
P32492	0.22741175
P32494	0.76225114
P32495	0.4787338
P32497	0.3772274
P32499	0.81578207
P32500	0.2980191
P32501	0.29028818
P32502	0.2687931
P32504	0.33934054
P32505	0.6304485
P32521	0.7721114
P32523	0.19576259
P32524	0.49192953
P32526	0.44024104
P32527	0.5459858
P32528	0.1964912
P32529	0.1861573
P32558	0.43807486
P32561	0.26517406
P32562	0.28212753
P32563	0.25558463
P32565	0.27840248
P32566	0.74033904
P32567	0.6453661
P32568	0.29537135
P32569	0.4340466
P32570	0.24616268
P32571	0.33695307
P32573	0.16733983
P32578	0.72143257
P32579	0.1938079
P32580	0.19581977
P32581	0.34306297
P32582	0.26075915
P32584	0.32807583
P32585	0.34066987
P32588	0.65974677
P32589	0.3756333
P32591	0.64158535
P32597	0.44264972
P32598	0.19376075
P32599	0.30222738
P32600	0.19861656
P32602	0.21617323
P32603	0.1496207
P32604	0.23132323
P32605	0.32021752
P32607	0.80859494
P32608	0.20894474
P32609	0.25934494
P32610	0.499802
P32614	0.19706884
P32621	0.2741472
P32622	0.30132174
P32623	0.39973047
P32626	0.18418
P32628	0.72573394
P32629	0.41211328
P32639	0.24548823
P32641	0.36983818
P32642	0.34825078
P32643	0.19551434
P32644	0.39915976
P32657	0.4978199
P32660	0.40264153
P32767	0.15342233
P32768	0.7573301
P32769	0.28812134
P32771	0.16910255
P32773	0.56400144
P32774	0.17833686
P32776	0.44445187
P32783	0.40025076
P32784	0.3931114
P32789	0.4602497
P32790	0.75166935
P32791	0.20529573
P32793	0.5820148
P32794	0.23453882
P32795	0.38823384
P32796	0.2066393
P32797	0.31641442
P32798	0.47291166
P32799	0.2982009
P32800	0.19220215
P32801	0.40598518
P32802	0.29980984
P32803	0.31480482
P32807	0.19650751
P32828	0.6712437
P32829	0.54235125
P32830	0.16372211
P32832	0.5105521
P32833	0.506167
P32835	0.2914782
P32838	0.30617723
P32839	0.23541325
P32842	0.22176538
P32844	0.19112252
P32849	0.37965062
P32854	0.59720284
P32855	0.27139768
P32860	0.22196408
P32861	0.1941887
P32862	0.6944238
P32863	0.3581488
P32864	0.22953239
P32867	0.6265666
P32873	0.5511788
P32874	0.18970552
P32891	0.22944467
P32892	0.5888948
P32893	0.2536054
P32895	0.3380821
P32897	0.33266503
P32898	0.2194425
P32899	0.20364432
P32900	0.93306774
P32901	0.36328804
P32905	0.37605667
P32906	0.18341899
P32908	0.3602689
P32909	0.69552445
P32910	0.18307763
P32911	0.25195277
P32912	0.6844578
P32913	0.4829426
P32914	0.21525452
P32915	0.18910389
P32916	0.36483312
P32917	0.4445536
P32939	0.17338607
P32943	0.3384923
P32944	0.5963363
P33122	0.61661696
P33201	0.2558386
P33202	0.28551504
P33203	0.33835235
P33296	0.5559281
P33297	0.49368483
P33298	0.29181868
P33299	0.50840855
P33300	0.30739662
P33301	0.5457847
P33302	0.3246914
P33307	0.16052888
P33308	0.7404225
P33309	0.15737332
P33310	0.19127412
P33313	0.42341942
P33314	0.26695457
P33317	0.41061336
P33322	0.40141317
P33328	0.84629107
P33329	0.6257826
P33330	0.20181417
P33332	0.4568743
P33333	0.31457707
P33334	0.26675013
P33336	0.54452616
P33338	0.41599065
P33339	0.33040667
P33399	0.5121733
P33400	0.61216384
P33401	0.23273915
P33413	0.299619
P33416	0.29044673
P33418	0.17521483
P33419	0.73222697
P33420	0.21638437
P33421	0.2129062
P33441	0.5543949
P33442	0.2803149
P33734	0.19163468
P33748	0.7744112
P33749	0.76453143
P33751	0.18064684
P33753	0.34400192
P33754	0.24528456
P33755	0.2994068
P33760	0.16774768
P33767	0.23514727
P33775	0.33497593
P33891	0.23102151
P33892	0.18459219
P33895	0.20381443
P34077	0.20248006
P34078	0.876411
P34087	0.14794737
P34110	0.18934628
P34111	0.3188253
P34160	0.20108588
P34161	0.7284148
P34162	0.15812407
P34163	0.3399601
P34164	0.72158307
P34167	0.90986925
P34216	0.76315373
P34217	0.7709178
P34218	0.42730033
P34219	0.8151016
P34221	0.35594824
P34223	0.78701514
P34225	0.27496284
P34226	0.540125
P34227	0.16521253
P34230	0.33059624
P34233	0.67617786
P34241	0.17144674
P34243	0.1867688
P34244	0.6444483
P34247	0.8391939
P34252	0.8317852
P34730	0.51889575
P34756	0.5319816
P34758	0.89325106
P34760	0.25817963
P34761	0.734679
P34909	0.64294153
P35056	0.50876164
P35169	0.2019167
P35177	0.54865116
P35179	0.5996685
P35180	0.59072715
P35181	0.17278917
P35182	0.18340297
P35187	0.5698949
P35189	0.4566544
P35191	0.48791748
P35192	0.41419747
P35193	0.37366447
P35194	0.17597628
P35196	0.22910835
P35197	0.70236725
P35200	0.16098069
P35201	0.74666905
P35203	0.29410085
P35206	0.35201132
P35207	0.35641515
P35208	0.5037037
P35688	0.25516272
P35691	0.28771612
P35718	0.3782366
P35728	0.6982696
P35729	0.16430226
P35732	0.8737136
P35734	0.78352094
P35817	0.72772527
P35843	0.37269527
P35844	0.22786494
P35845	0.43596128
P35997	0.19674069
P35999	0.1660262
P36000	0.23307908
P36003	0.55749404
P36005	0.22736941
P36006	0.4098985
P36007	0.22004955
P36009	0.25417793
P36010	0.20929125
P36012	0.5960054
P36013	0.3493304
P36014	0.17717324
P36015	0.16931663
P36016	0.28289655
P36017	0.37127763
P36018	0.46547008
P36022	0.17323561
P36024	0.70238006
P36027	0.7202046
P36033	0.20610178
P36035	0.35036993
P36037	0.2196628
P36041	0.9107123
P36046	0.83088446
P36047	0.23455341
P36048	0.29134268
P36049	0.8965401
P36051	0.2598466
P36056	0.35670537
P36057	0.2331246
P36060	0.1847289
P36068	0.18840724
P36075	0.30041614
P36076	0.6886754
P36077	0.37283805
P36080	0.95470124
P36081	0.4359417
P36084	0.46278623
P36088	0.18685445
P36091	0.258673
P36094	0.76194733
P36095	0.7423366
P36096	0.2471934
P36100	0.6756288
P36102	0.3041189
P36104	0.13768476
P36105	0.1592033
P36107	0.3121005
P36108	0.87447894
P36112	0.29392236
P36113	0.16280551
P36116	0.67493373
P36117	0.53756356
P36119	0.7831534
P36122	0.19673918
P36123	0.5576067
P36124	0.5103755
P36126	0.4110993
P36130	0.27156264
P36131	0.27121174
P36132	0.16013849
P36135	0.36413792
P36136	0.32890725
P36143	0.5879294
P36146	0.32476905
P36148	0.35732752
P36149	0.19365503
P36152	0.43172893
P36156	0.23538132
P36160	0.46945247
P36161	0.16895515
P36162	0.6810811
P36163	0.16625907
P36165	0.44173628
P36170	0.55237025
P36421	0.34192643
P36531	0.7328724
P36775	0.4096985
P37012	0.26869363
P37020	0.21800548
P37254	0.16329549
P37292	0.2897112
P37296	0.31329435
P37297	0.18918651
P37298	0.4223052
P37299	0.40475735
P37303	0.18214954
P37366	0.48170328
P37370	0.98029953
P37838	0.5926183
P38009	0.18255027
P38011	0.15076844
P38013	0.1507328
P38041	0.7254044
P38042	0.37024868
P38063	0.1739797
P38069	0.23939772
P38070	0.35696268
P38071	0.23425661
P38074	0.23967554
P38075	0.3867154
P38077	0.18061231
P38080	0.71330655
P38084	0.35878828
P38085	0.38709557
P38086	0.3429599
P38088	0.3110791
P38109	0.18507196
P38110	0.17536955
P38111	0.15506768
P38112	0.4421013
P38115	0.17570023
P38116	0.14884578
P38121	0.39614072
P38123	0.15353248
P38125	0.43403652
P38128	0.71688235
P38129	0.48086455
P38130	0.20304757
P38132	0.25807375
P38137	0.3134711
P38138	0.16407469
P38139	0.17214331
P38140	0.36842036
P38143	0.16287918
P38144	0.41555065
P38146	0.16736042
P38147	0.18434045
P38149	0.18359709
P38153	0.2208594
P38165	0.8092639
P38167	0.6203419
P38169	0.15974578
P38170	0.6237323
P38174	0.46174157
P38181	0.24610794
P38182	0.26788908
P38198	0.37573364
P38199	0.4100811
P38203	0.16642754
P38205	0.3371038
P38207	0.25770974
P38208	0.14283314
P38211	0.21290581
P38212	0.8839288
P38217	0.20160301
P38221	0.31067243
P38225	0.20062326
P38227	0.41971645
P38228	0.17560518
P38236	0.67108136
P38237	0.28741717
P38238	0.2889512
P38242	0.1891563
P38244	0.3458488
P38247	0.17418003
P38248	0.26855925
P38249	0.46620342
P38250	0.5257658
P38251	0.16306026
P38255	0.5838996
P38257	0.4226253
P38261	0.4555502
P38262	0.24712336
P38263	0.4115628
P38264	0.45791814
P38265	0.15127769
P38266	0.98633766
P38270	0.25133923
P38272	0.63929176
P38273	0.32974252
P38274	0.2610431
P38279	0.27815488
P38283	0.8390724
P38285	0.30354306
P38286	0.21362735
P38287	0.3494016
P38289	0.216903
P38291	0.32233685
P38295	0.2466093
P38297	0.2779513
P38298	0.21133953
P38301	0.32138306
P38304	0.46295232
P38307	0.21374995
P38310	0.5176221
P38313	0.4542598
P38316	0.6374732
P38319	0.2265021
P38323	0.3145366
P38324	0.18461268
P38328	0.22575872
P38329	0.3039368
P38332	0.1586272
P38333	0.5173605
P38334	0.23918457
P38336	0.22811478
P38339	0.41289642
P38340	0.40635246
P38341	0.35803694
P38342	0.21088299
P38344	0.58311826
P38345	0.89780045
P38348	0.17618579
P38351	0.47130415
P38352	0.4591179
P38353	0.20396933
P38356	0.725684
P38360	0.32767332
P38361	0.27670974
P38426	0.34520316
P38427	0.41302645
P38428	0.7087387
