ENSEMBL	symbol	WikiGene	Uniprot/SWISSPROT
YJR055W	HIT1	853516|HIT1	P46973
YLR050C	null	YLR050C|850739	Q12155
YPL132W	COX11	855971|COX11	P19516
snR32	null	null	null
YJL162C	JJJ2	JJJ2|853277	P46997
YOL095C	HMI1	HMI1|854058	Q12039
YFR043C	IRC6	850604|IRC6	P43615
YPR060C	ARO7	ARO7|856173	P32178
YDL058W	USO1	851501|USO1	P25386
YMR120C	ADE17	ADE17|855149	P38009
YMR237W	BCH1	BCH1|855277	Q05029
YMR001C-A	null	YMR001C-A|1466498	Q8TGS9
snR57	null	null	null
YER111C	SWI4	856847|SWI4	P25302
YHL045W	null	null	P38726
YBR274W	CHK1	852577|CHK1	P38147
YMR275C	BUL1	855318|BUL1	P48524
YCR017C	CWH43	CWH43|850376	P25618
YDL190C	UFD2	851337|UFD2	P54860
YHR193C-A	null	null	null
YNL196C	SLZ1	855525|SLZ1	P40167
YOR074C	CDC21	CDC21|854241	P06785
YAL066W	null	null	P39710
YMR030W-A	null	1466499|YMR030W-A	Q3E760
YNL233W	BNI4	BNI4|855488	P53858
YKL034W	TUL1	TUL1|853832	P36096
YKL167C	MRP49	MRP49|853687	P32388
YMR074C	null	855096|YMR074C	Q04773
YLL037W	null	null	Q07865
YLR339C	null	null	O94085
YER079C-A	null	null	null
YHL006W-A	null	null	null
YHR212W-A	null	YHR212W-A|1466531	P0CX91|P0CX90
tQ(UUG)C	null	null	null
YCL076W	null	null	P25602
YPR035W	GLN1	856147|GLN1	P32288
YHR073C-B	null	null	P0C5N4
YFL009W	CDC4	850539|CDC4	P07834
YKR026C	GCN3	GCN3|853896	P14741
YER139C	RTR1	RTR1|856882	P40084
YHR131W-A	null	null	null
YBR277C	null	null	P38350
YER074W-A	YOS1	856806|YOS1	Q3E834
YHR075C	PPE1	PPE1|856474	P38796
YHR162W	null	856567|YHR162W	P38857
tI(AAU)P2	null	null	null
YGL138C	null	YGL138C|852739	P53122
YGL045W	RIM8	RIM8|852837	P53179
YCL050C	APA1	APA1|850307	P16550
YIL166C	null	854640|YIL166C	P40445
YNL245C	CWC25	855476|CWC25	P53854
YGR207C	CIR1	853121|CIR1	P42940
YLR262C-A	TMA7	850967|TMA7	Q3E764
tD(GUC)B	null	null	null
YMR143W	RPS16A	RPS16B|855174|RPS16A|851476	P0CX52|P0CX51
YLR272C	YCS4	YCS4|850977	Q06156
YLR363C	NMD4	NMD4|851077	Q12129
YDR161W	null	851739|YDR161W	Q03771
YGL193C	null	852682|YGL193C	P53097
YIL131C	FKH1	FKH1|854675	P40466
YPL223C	GRE1	855878|GRE1	Q08969
YKR098C	UBP11	853973|UBP11	P36026
YAR070C	null	null	P39566
YDR469W	SDC1	852080|SDC1	Q03323
YMR052W	FAR3	855073|FAR3	P46671
YPL209C	IPL1	855892|IPL1	P38991
YLR355C	ILV5	ILV5|851069	P06168
YAL039C	CYC3	851192|CYC3	P06182
YOL065C	INP54	INP54|854089	Q08227
YOL158C	ENB1	854007|ENB1	Q08299
YLR444C	null	null	O13560
YCL031C	RRP7	RRP7|850326	P25368
YJL211C	null	null	P40898
YJR020W	null	null	P47092
YDR355C	null	null	P87285
YNL011C	null	YNL011C|855721	P53980
YOR140W	SFL1	854307|SFL1	P20134
tG(GCC)O1	null	null	null
YDR334W	SWR1	SWR1|851934	Q05471
YKL201C	MNN4	853634|MNN4	P36044
YMR231W	PEP5	855271|PEP5	P12868
YPR145W	ASN1	856268|ASN1	P49089
YNR045W	PET494	PET494|855781	P07390
YHR046C	INM1	856442|INM1	P38710
YHL034W-A	null	null	null
YOL111C	MDY2	MDY2|854038	Q12285
YNR040W	null	YNR040W|855776	P53736
YPL023C	MET12	856084|MET12	P46151
YIL074C	SER33	854736|SER33	P40510
YML081W	TDA9	YML081W|854894	Q04545
YGR038W	ORM1	ORM1|852926	P53224
YIL087C	AIM19	854722|AIM19	P40502
YJR042W	NUP85	NUP85|853499	P46673
YNL058C	null	855667|YNL058C	P53947
snR64	null	null	null
YLR166C	SEC10	SEC10|850863	Q06245
YER130C	null	856867|YER130C	P39959
YJL191W	RPS14B	RPS14B|853248	P39516
YPL189W	GUP2	GUP2|855912	Q08929
YBR189W	RPS9B	RPS9B|852487	P05755
YPL179W	PPQ1	855923|PPQ1	P32945
YAR020C	PAU7	PAU7|851275	P39545
YGL255W	ZRT1	852637|ZRT1	P32804
YDL027C	null	851535|YDL027C	Q07349
YMR178W	null	YMR178W|855216	Q03219
YMR107W	SPG4	855134|SPG4	Q04438
YNL169C	PSD1	PSD1|855552	P39006
YNL097C-B	null	YNL097C-B|1466513	P0C271
YBR156C	SLI15	SLI15|852453	P38283
YFL028C	CAF16	CAF16|850516	P43569
YIL174W	null	null	null
YJR021C	REC107	REC107|853478	P21651
YER186C	null	856935|YER186C	P40101
YPL086C	ELP3	ELP3|856019	Q02908
YCR041W	null	null	P37265
YDL234C	GYP7	GYP7|851364	P48365
YGR133W	PEX4	PEX4|853034	P29340
YNL213C	RRG9	RRG9|855508	P40156
YOR347C	PYK2	PYK2|854529	P52489
YLR375W	STP3	STP3|851089	Q05937
YOR157C	PUP1	854328|PUP1	P25043
YGL022W	STT3	STT3|852862	P39007
YML091C	RPM2	RPM2|854883	Q02773
YDR017C	KCS1	KCS1|851580	Q12494
YPL020C	ULP1	856087|ULP1	Q02724
YML063W	RPS1B	854939|RPS1B	P23248
YJL132W	null	853309|YJL132W	P47014
YML057W	CMP2	CMP2|854946	P14747
YJL009W	null	null	P47078
YKL076C	PSY1	null	P36082
YPL163C	SVS1	SVS1|855940	Q12254
YCR015C	null	850373|YCR015C	P25616
YHR109W	CTM1	856509|CTM1	P38818
YPL217C	BMS1	BMS1|855884	Q08965
YIL072W	HOP1	854738|HOP1	P20050
YGR111W	null	853008|YGR111W	P53265
YMR061W	RNA14	855083|RNA14	P25298
tT(CGU)K	TRT2	null	null
YDR267C	CIA1	CIA1|851860	Q05583
YLR241W	null	YLR241W|850942	Q06538
YDR307W	null	851902|YDR307W	Q06644
YOR344C	TYE7	TYE7|854525	P33122
YLR154W-B	null	null	P0C5P9
YBR040W	FIG1	852328|FIG1	P38224
YCR021C	HSP30	850385|HSP30	P25619
YPL191C	null	855910|YPL191C	Q08930
YHR107C	CDC12	856507|CDC12	P32468
YNL323W	LEM3	855393|LEM3	P42838
YBR301W	PAU24	PAU9|PAU24|852603|852163	P38155
YPR129W	SCD6	SCD6|856247	P45978
YGR161C-D	null	YGR161C-D|853068	Q12316
YJR112W	NNF1	853576|NNF1	P47149
YBR154C	RPB5	RPB5|852451	P20434
YDL245C	HXT15	HXT15|851352	P54854
YDR448W	ADA2	ADA2|852059	Q02336
YER096W	SHC1	SHC1|856832	P39000
YKL145W-A	null	null	P0C5P3
YDL037C	BSC1	BSC1|851524	Q12140
YBR116C	null	null	P38268
YPL077C	null	YPL077C|856028	Q02831
YGL041C	null	null	null
YML069W	POB3	854933|POB3	Q04636
tS(AGA)G	null	null	null
YDR316W-B	null	YDR316W-B|851914	P0C2I2
YNL054W	VAC7	VAC7|855673	P53950
YOR288C	MPD1	MPD1|854462	Q12404
YDL105W	NSE4	NSE4|851453	P43124
YIL101C	XBP1	XBP1|854706	P40489
YLL021W	SPA2	SPA2|850639	P23201
YDR330W	UBX5	851930|UBX5	Q06682
YGL085W	LCL3	LCL3|852795	P53153
YJR003C	null	853459|YJR003C	P47084
YBL103C	RTG3	852171|RTG3	P38165
YKR009C	FOX2	853878|FOX2	Q02207
YOR394C-A	null	1466490|YOR394C-A	Q8TGJ0
YDR379W	RGA2	RGA2|851985	Q06407
YLL040C	VPS13	VPS13|850619	Q07878
YNL309W	STB1	855407|STB1	P42845
YGR290W	null	null	P53339
YDR073W	SNF11	851645|SNF11	P38956
YJL108C	PRM10	853336|PRM10	P42946
YLR298C	YHC1	851005|YHC1	Q05900
YPR098C	null	YPR098C|856213	Q06089
YDL186W	null	YDL186W|851340	P48568
YMR015C	ERG5	ERG5|855029	P54781
YOR222W	ODC2	ODC2|854397	Q99297
YLR256W-A	null	850959|YLR256W-A	P0C2I8
YLR232W	null	null	O13546
YNL066W	SUN4	855659|SUN4	P53616
YJR048W	CYC1	853507|CYC1	P00044
YEL002C	WBP1	856716|WBP1	P33767
YDR180W	SCC2	SCC2|851761	Q04002
YFL041W-A	null	1466401|YFL041W-A	Q3E817
YAL067C	SEO1	SEO1|851230	P39709
YJL156W-A	null	null	P0C5N9
YER176W	ECM32	856923|ECM32	P32644
YGL174W	BUD13	852701|BUD13	P46947
YHR003C	null	856392|YHR003C	P38756
YGR102C	GTF1	YGR102C|852994	P53260
YJL133W	MRS3	MRS3|853308	P10566
YDL224C	WHI4	851302|WHI4	Q07655
YJR154W	null	YJR154W|853619	P47181
YGL054C	ERV14	852826|ERV14	P53173
YHR058C	MED6	856455|MED6	P38782
YBR265W	TSC10	852568|TSC10	P38342
YGL260W	null	YGL260W|852631	P53056
YHR032W-A	null	null	P0C5N6
YPL068C	null	YPL068C|856037	Q02749
YOR354C	MSC6	854536|MSC6	Q08818
YKR013W	PRY2	PRY2|853882	P36110
YDL111C	RRP42	851447|RRP42	Q12277
YDR320C-A	DAD4	DAD4|851919	P69851
YHR137C-A	null	null	Q8TGN6
YNL135C	FPR1	FPR1|855587	P20081
YPR097W	null	856212|YPR097W	Q06839
YML112W	CTK3	CTK3|854928	P46963
YBR262C	AIM5	852566|AIM5	P38341
YER144C	UBP5	UBP5|856887	P39944
Q0070	AI5_ALPHA	AI5_ALPHA|854597	Q9ZZX1
YBR009C	HHF1	855701|852294|HHF1|HHF2	P02309
YLR337C	VRP1	VRP1|851051	P37370
YGR060W	ERG25	852951|ERG25	P53045
YKR103W	NFT1	NFT1|853978	P0CE68|P0CE70
YLR244C	MAP1	MAP1|850945	Q01662
tQ(CUG)M	CDC65	null	null
YJL047C	RTT101	RTT101|853400	P47050
YNL087W	TCB2	855637|TCB2	P48231
YLR025W	SNF7	850712|SNF7	P39929
YGL214W	null	null	P53087
YDR030C	RAD28	RAD28|851594	Q12021
YOR217W	RFC1	RFC1|854392	P38630
YNL015W	PBI2	855717|PBI2	P01095
YNL146C-A	null	YNL146C-A|1466510	Q3E7Z1
YMR172W	HOT1	855208|HOT1	Q03213
YJL130C	URA2	URA2|853311	P07259
YCR047C	BUD23	850414|BUD23	P25627
YKL095W	YJU2	853767|YJU2	P28320
YML094C-A	null	null	Q12744
tL(CAA)L	null	null	null
YNL207W	RIO2	855514|RIO2	P40160
YIL078W	THS1	THS1|854732	P04801
YOR197W	MCA1	MCA1|854372	Q08601
YOL042W	NGL1	NGL1|854115	Q08213
YER006W	NUG1	NUG1|856723	P40010
YNR024W	MPP6	855758|MPP6	P53725
YJL170C	ASG7	ASG7|853269	P46993
YPR138C	MEP3	856260|MEP3	P53390
YGR139W	null	null	P53284
YIR010W	DSN1	DSN1|854827	P40568
YDL082W	RPL13A	851477|RPL13A	Q12690
YMR156C	TPP1	TPP1|855188	Q03796
YER103W	SSA4	SSA4|856840	P22202
YGR186W	TFG1	853098|TFG1	P41895
YKL038W	RGT1	RGT1|853828	P32862
YNL065W	AQR1	AQR1|855660	P53943
YDL184C	RPL41A	851422|RPL41A|851344|RPL41B	P0CX87|P0CX86
YLR173W	null	YLR173W|850870	Q06247
tT(AGU)D	null	null	null
YHR026W	VMA16	VMA16|856421	P23968
YIL116W	HIS5	HIS5|854690	P07172
YLL065W	null	null	Q99339
YLR175W	CBF5	850872|CBF5	P33322
YDR058C	TGL2	851628|TGL2	P54857
YMR046C	null	YMR046C|855063	Q04215
YBL113C	null	852159|YBL113C	Q7M4S9
YBR200W-A	null	YBR200W-A|1466449	Q3E755
YGR108W	CLB1	CLB1|853002	P24868
YIL156W-B	null	3628034|YIL156W-B	Q2V2P4
YCL066W	HMLALPHA1	HMLALPHA1|850407|850293|MATALPHA1	P0CY07|P0CY06
YBR072C-A	null	YBR072C-A|1466444	Q3E794
YOR238W	null	YOR238W|854413	Q08634
YDR379C-A	null	851986|YDR379C-A	Q3E785
YIL004C	BET1	854813|BET1	P22804
YDL074C	BRE1	BRE1|851485	Q07457
YDL155W	CLB3	851400|CLB3	P24870
YKR048C	NAP1	NAP1|853922	P25293
YOR026W	BUB3	854191|BUB3	P26449
YBR249C	ARO4	ARO4|852551	P32449
YDR509W	null	null	P87272
YGL172W	NUP49	852703|NUP49	Q02199
YOR235W	IRC13	null	Q08630
YFR032C-B	null	YFR032C-B|1466402	Q8TGU2
YNL099C	OCA1	OCA1|855624	P50946
YPR083W	MDM36	MDM36|856198	Q06820
YER145C-A	null	null	null
YMR243C	ZRC1	855284|ZRC1	P20107
YBR165W	UBS1	UBS1|852463	P38290
YNL108C	null	855615|YNL108C	P53929
YKL057C	NUP120	853808|NUP120	P35729
YNL285W	null	null	P53831
YCR095W-A	null	3077354|YCR095W-A	Q3E787
YNL218W	MGS1	855503|MGS1	P40151
YGR168C	null	853078|YGR168C	P53293
YKR063C	LAS1	LAS1|853937	P36146
YPR149W	NCE102	856272|NCE102	Q12207
SRG1	null	null	null
YDR318W	MCM21	MCM21|851916	Q06675
YLR416C	null	null	Q06695
YKL203C	TOR2	TOR2|853632	P32600
YNL232W	CSL4	CSL4|855489	P53859
YCL020W	null	850339|YCL020W	P25383
YMR121C	RPL15B	855150|RPL15B	P54780
YDL054C	MCH1	851506|MCH1	Q07376
YDR385W	EFT2	851993|EFT1|854301|EFT2	P32324
YER127W	LCP5	856864|LCP5	P40079
YLR320W	MMS22	MMS22|851030	Q06164
YLR358C	null	null	O13565
YGL165C	null	null	P53106
YJL077C	ICS3	ICS3|853368	P47034
YKR073C	null	null	P36153
YCL005W	LDB16	LDB16|850351	P25587
YIR036W-A	null	null	null
tQ(UUG)D1	null	null	null
tK(UUU)P	null	null	null
YLR463C	null	null	O13557
YNL170W	null	null	P53888
YER067W	RGI1	RGI1|856797	P40043
YMR261C	TPS3	TPS3|855303	P38426
YFR042W	KEG1	850603|KEG1	P43614
YGR273C	null	853190|YGR273C	P53329
YKL053C-A	MDM35	853812|MDM35	O60200
YDL025W-A	null	null	Q8TGP7
YOR135C	IRC14	null	Q08522
YGR053C	null	852944|YGR053C	P53234
YNL255C	GIS2	GIS2|855466	P53849
YGR165W	MRPS35	MRPS35|853075	P53292
YIR018W	YAP5	854835|YAP5	P40574
YGL122C	NAB2	852755|NAB2	P32505
YOL039W	RPP2A	854118|RPP2A	P05319
YPL066W	null	856039|YPL066W	Q12194
YIL024C	null	854788|YIL024C	P40543
YCL055W	KAR4	850303|KAR4	P25583
YPR137C-A	null	851269|YPR137C-A|YAR010C|856258	P0CX57|P0CX58
YML065W	ORC1	854937|ORC1	P54784
tF(GAA)P1	null	null	null
YBL093C	ROX3	852184|ROX3	P25046
YNL070W	TOM7	TOM7|855654	P53507
YCR014C	POL4	POL4|850372	P25615
YMR055C	BUB2	855077|BUB2	P26448
YBL006C	LDB7	852277|LDB7	P38210
YNL052W	COX5A	COX5A|855675	P00424
YJL200C	ACO2	ACO2|853230	P39533
YNL148C	ALF1	ALF1|855574	P53904
YJR105W	ADO1	853569|ADO1	P47143
YPL233W	NSL1	855843|NSL1	Q12143
YJR025C	BNA1	BNA1|853482	P47096
YLR302C	null	null	O13544
YCR018C	SRD1	850377|SRD1	P09007
YDR115W	null	YDR115W|851692	Q04598
YLR421C	RPN13	851140|RPN13	O13563
YOR152C	null	YOR152C|854323	Q99325
YGL163C	RAD54	852713|RAD54	P32863
YGL216W	KIP3	852655|KIP3	P53086
YOL104C	NDJ1	NDJ1|854047	Q12366
YJR091C	JSN1	JSN1|853553	P47135
YDR028C	REG1	REG1|851592	Q00816
YGL196W	DSD1	852679|DSD1	P53095
YLR133W	CKI1	850824|CKI1	P20485
YGR248W	SOL4	SOL4|853163	P53315
YPL140C	MKK2	MKK2|855963	P32491
YOR163W	DDP1	DDP1|854334	Q99321
YKL182W	FAS1	FAS1|853653	P07149
YPR101W	SNT309	SNT309|856216	Q06091
YLR119W	SRN2	850810|SRN2	Q99176
YLR329W	REC102	851040|REC102	Q02721
tE(UUC)K	null	null	null
YNL038W	GPI15	855690|GPI15	P53961
YHR011W	DIA4	DIA4|856402	P38705
YLR191W	PEX13	850888|PEX13	P80667
YOR016C	ERP4	854181|ERP4	Q12450
YGR204C-A	null	1466462|YGR204C-A	Q8TGT7
YNL095C	null	YNL095C|855629	P53932
YPL253C	VIK1	VIK1|855822	Q12045
YOR243C	PUS7	854417|PUS7	Q08647
YNR074C	AIF1	855811|AIF1	P52923
YNL156C	NSG2	NSG2|855566	P53898
YLR189C	ATG26	850886|ATG26	Q06321
YCR073C	SSK22	SSK22|850436	P25390
YCR019W	MAK32	850381|MAK32	P23060
YKR066C	CCP1	853940|CCP1	P00431
YGL094C	PAN2	PAN2|852786	P53010
YLR154W-C	TAR1	1466405|TAR1	Q8TGM6
YMR217W	GUA1	GUA1|855257	P38625
YDL009C	null	null	Q12210
YJL061W	NUP82	NUP82|853385	P40368
YKL026C	GPX1	853842|GPX1	P36014
YOL014W	null	YOL014W|854146	Q08110
YJL124C	LSM1	853318|LSM1	P47017
YPL256C	CLN2	CLN2|855819	P20438
YPL052W	OAZ1	856055|OAZ1	Q02803
YJL150W	null	null	P47004
YPR121W	THI22	THI22|856239	Q06490
YGR180C	RNR4	853091|RNR4	P49723
YIL003W	CFD1	854814|CFD1	P40558
YJL045W	null	853405|YJL045W	P47052
snR86	null	null	null
YIR007W	null	854824|YIR007W	P40566
YKR085C	MRPL20	MRPL20|853960	P22354
YPL166W	ATG29	ATG29|855937	Q12092
YMR182W-A	null	YMR182W-A|1466502	Q8TGS7
YKL068W	NUP100	NUP100|853796	Q02629
YMR229C	RRP5	RRP5|855269	Q05022
YER158C	null	856903|YER158C	P40095
YBR103W	SIF2	SIF2|852399	P38262
YHR180W	null	null	P38868
YIL032C	null	null	P40536
YKL043W	PHD1	PHD1|853823	P36093
YOR389W	null	YPL278C|854571|YOR389W|855851	Q08990|Q08912
YKL219W	COS9	853661|COS9	P36034
YDL106C	PHO2	851452|PHO2	P07269
YCL021W-A	null	850338|YCL021W-A	Q96VH3
YML007W	YAP1	YAP1|855005	P19880
YLR022C	SDO1	SDO1|850709	Q07953
YMR153C-A	null	null	null
YGR061C	ADE6	852952|ADE6	P38972
YBL030C	PET9	852250|PET9	P18239
YLL020C	null	null	Q07811
YHR202W	null	YHR202W|856609	P38887
YBR208C	DUR1,2	852507|DUR1,2	P32528
YNL214W	PEX17	PEX17|855507	P40155
YGL224C	SDT1	852648|SDT1	P53078
YIR035C	null	YIR035C|854853	P40579
YNR034W	SOL1	855769|SOL1	P50278
tG(GCC)E	null	null	null
YMR059W	SEN15	SEN15|855081	Q04675
YMR133W	REC114	855163|REC114	P32841
tQ(UUG)E1	null	null	null
YKL119C	VPH2	VPH2|853741	P32341
YNR011C	PRP2	PRP2|855745	P20095
YML034W	SRC1	SRC1|854974	Q03707
YJL167W	ERG20	853272|ERG20	P08524
YHR115C	DMA1	856515|DMA1	P38823
YKL209C	STE6	STE6|853671	P12866
tV(AAC)M2	null	null	null
YJR107W	null	853571|YJR107W	P47145
YOR032C	HMS1	HMS1|854197	Q12398
YMR149W	SWP1	SWP1|855180	Q02795
YNR001W-A	null	null	P0C5Q7
YCL027W	FUS1	FUS1|850330	P11710
YLR207W	HRD3	HRD3|850904	Q05787
YJL136W-A	null	1466464|YJL136W-A	Q3E801
YOR315W	SFG1	854493|SFG1	Q12507
snR61	null	null	null
YOR325W	null	null	Q12261
YBR220C	null	YBR220C|852521	P38318
YGR095C	RRP46	852987|RRP46	P53256
YPL278C	null	YPL278C|855851	Q08990
YBL100W-B	null	YBL100W-B|852175	Q12491
YKL073W	LHS1	853789|LHS1	P36016
YGR175C	ERG1	ERG1|853086	P32476
YER014C-A	BUD25	856735|BUD25	P85052
YBL104C	SEA4	YBL104C|852170	P38164
YJR012C	null	853469|YJR012C	P47087
YMR007W	null	null	Q03675
YMR196W	null	YMR196W|855236	Q04336
YKL132C	RMA1	853727|RMA1	P36001
YGR285C	ZUO1	ZUO1|853202	P32527
YDR269C	null	null	P87281
YGR080W	TWF1	TWF1|852971	P53250
YMR037C	MSN2	855053|MSN2	P33748
YOR334W	MRS2	MRS2|854511	Q01926
YMR054W	STV1	855076|STV1	P37296
tA(AGC)P	null	null	null
YGL069C	null	null	P53162
YFR057W	null	850618|YFR057W	P43625
YBR069C	TAT1	852361|TAT1	P38085
YPL017C	IRC15	IRC15|856090	Q02733
YIR029W	DAL2	854847|DAL2	P25335
YJL042W	MHP1	853408|MHP1	P43638
YMR315W	null	YMR315W|855363	Q04869
YCL018W	LEU2	LEU2|850342	P04173
YDR391C	null	YDR391C|852000	Q04170
YEL059C-A	SOM1	SOM1|856650	Q05676
YAL026C	DRS2	851207|DRS2	P39524
YHR005C	GPA1	856394|GPA1	P08539
YBR234C	ARC40	852536|ARC40	P38328
YPR115W	RGC1	856231|RGC1	Q06108
YER002W	NOP16	NOP16|856719	P40007
YJL217W	REE1	853238|REE1	P40893
YDR010C	null	null	Q12426
YER107C	GLE2	GLE2|856844	P40066
YOL032W	OPI10	OPI10|854125	Q08202
YGR270C-A	null	null	Q8TGN7
YDL115C	IWR1	851442|IWR1	Q07532
YHL018W	null	YHL018W|856368	P38744
YDR460W	TFB3	852071|TFB3	Q03290
YFR034W-A	null	null	Q8TGR2
YIL020C	HIS6	HIS6|854792	P40545
YLR303W	MET17	851010|MET17	P06106
YHL019C	APM2	856367|APM2	P38700
YIL145C	PAN6	854661|PAN6	P40459
YHR020W	null	YHR020W|856413	P38708
YCR025C	null	null	P25352
YIL042C	PKP1	854769|PKP1	P40530
YNL286W	CUS2	855430|CUS2	P53830
YPR033C	HTS1	HTS1|856145	P07263
snR54	null	null	null
YOL082W	ATG19	854072|ATG19	P35193
YBR122C	MRPL36	852419|MRPL36	P36531
YLR410W-B	null	YLR410W-B|851128	P0C2J3
YDL070W	BDF2	BDF2|851488	Q07442
YNR021W	null	YNR021W|855755	P53723
YFR005C	SAD1	850555|SAD1	P43589
YHR185C	PFS1	PFS1|856591	P38872
YPR061C	JID1	856174|JID1	Q12350
YPR110C	RPC40	RPC40|856226	P07703
YOL112W	MSB4	MSB4|854037	Q12317
YMR285C	NGL2	855329|NGL2	Q03264
YNL166C	BNI5	BNI5|855555	P53890
YPR015C	null	YPR015C|856125	Q12531
YDL228C	null	null	Q07658
YGL110C	CUE3	852768|CUE3	P53137
YBR269C	FMP21	FMP21|852572	P38345
YLR385C	SWC7	SWC7|851101	Q06707
YJL020C	BBC1	BBC1|853433	P47068
YLR362W	STE11	851076|STE11	P23561
YMR026C	PEX12	855041|PEX12	Q04370
YNL236W	SIN4	855485|SIN4	P32259
YPL030W	TRM44	856077|TRM44	Q02648
YDR413C	null	null	P87266
YOR075W	UFE1	UFE1|854242	P41834
YFL019C	null	null	P43576
YJL129C	TRK1	TRK1|853312	P12685
YML106W	URA5	854865|URA5	P13298
YPL075W	GCR1	856030|GCR1	P07261
YGR068W-A	null	null	Q8TGN8
YER146W	LSM5	856889|LSM5	P40089
YFL013W-A	null	null	Q03187
YPR079W	MRL1	856194|MRL1	Q06815
YDR410C	STE14	852019|STE14	P32584
YPR145C-A	null	3799978|YPR145C-A	Q2V2P0
YMR089C	YTA12	YTA12|855114	P40341
YOR173W	DCS2	DCS2|854344	Q12123
YMR180C	CTL1	855218|CTL1	Q03220
YDR134C	null	null	null
YDL141W	BPL1	851414|BPL1	P48445
YMR274C	RCE1	855317|RCE1	Q03530
YGL090W	LIF1	852790|LIF1	P53150
YPL120W	VPS30	VPS30|855983	Q02948
YBR074W	null	YBR074W|852366	P38244
YPL076W	GPI2	GPI2|856029	P46961
YPR001W	CIT3	CIT3|856107	P43635
YPR014C	null	null	Q6B0W2
YKR044W	UIP5	853918|UIP5	P36137
YHR146W	CRP1	856551|CRP1	P38845
YML055W	SPC2	854949|SPC2	Q04969
YLR201C	COQ9	850898|COQ9	Q05779
YHR070W	TRM5	TRM5|856467	P38793
YNL028W	null	null	P53967
YIR041W	PAU15	854859|PAU15	P40585
